Frame,Time,0001_1,0001_2,0001_3,0001_4,0002_1,0002_2,0002_3,0004_1,0004_2,0004_3,0005_1,0005_2,0005_3,0005_4,0006_1,0006_2,0006_3
84,5.928571428571428,2747000.0584428865,2177257.128679459,2442755.770985931,2180835.5572534725,2696422.215631646,2111250.222733394,2523296.3187531265,2072755.9887449583,2271199.2378013614,,3183381.943470564,2064358.1935174533,2325430.904719609,2955631.010342972,2042293.942961259,2777574.680573816,
85,6.0,2547045.4735636874,2673829.495755238,2333964.9135799888,2156439.1923945933,2615762.6270561614,2080392.3903132435,2428397.1479622843,2367820.164975148,2024373.663125024,,3146473.059961211,2010732.4147507935,2266614.88620364,,2622249.121378302,3046113.799990291,2610254.820999885
86,6.071428571428571,2695901.368015787,2491647.4618595876,2254240.3345990106,2157492.9963689083,2527244.5811160547,1800479.1024239336,2438650.1190115586,,,,3186761.524232608,2138871.7184967757,2125234.3941784254,,2379291.2268221155,2618025.270602611,2773076.9976453455
87,6.142857142857142,2509431.232362937,2503204.564888664,2376170.5704900958,2274468.464269776,2565155.192499715,1913370.3985637615,2563944.3737688595,2409938.4806670826,1950010.936198357,,2887168.2855573157,2028853.21054938,,2718030.1737146685,2469693.0346582374,2733369.950099023,
88,6.2142857142857135,2363332.7103997734,2633849.659381557,2602088.077470901,2083176.7826563139,2631185.85124205,2231052.9060636573,2569446.5353068397,2202422.361081874,2146539.551741929,,2953019.4911465617,2335307.382310451,2425143.4005682375,,2296983.3317061155,2551235.420866228,2545699.927161537
89,6.285714285714286,2703122.449508616,2389367.0703061395,2397190.289715382,2110468.399529764,2346652.7253773827,1895209.9270529952,2261681.4357458735,2104762.790439986,2099568.3084905357,,3200831.5826372877,2029368.4354700153,2143595.667312365,,,2546957.1345909294,2631054.104569135
90,6.357142857142857,2472772.263098957,2243150.6747920755,2436126.800709113,2186469.7393739615,2621137.3727081846,1968556.9420753175,2400805.254796122,,1905747.7014147658,,2650497.5595394177,2155176.292941974,,,2432698.574378578,2922217.1103495816,2492487.4068245464
91,6.428571428571428,2485471.4736106503,2210505.8472603546,2428120.413512306,2280704.406481361,2543296.2634205776,1908043.9546608017,2300069.1400970155,2530351.63017159,2062393.2834503278,,3062293.5942008058,1942942.847361073,2283620.4542160374,,2558081.5193623947,2534408.0248880973,2525815.27797621
92,6.5,2564500.0584277418,2640748.638222988,2417533.782080545,2324299.68000862,2594825.2285791873,1983262.7439317324,2745396.592453242,2137243.7378649777,2100141.3754884517,,2827109.222892974,2166650.3804135467,2308665.8918081275,2948011.1848857803,2396558.6168332254,2748166.937851975,2556281.3078066586
93,6.571428571428571,2565673.6549154357,2432177.6627000268,2481059.5478561567,2319523.5173909334,2738017.3891185713,2034831.0401103715,2641958.2726939246,2556699.132704587,1940096.2746654574,,3181231.728106565,2061892.7531952274,2366351.418713419,,2382840.1845646044,2861586.3566600843,2371053.902724497
94,6.642857142857142,2448392.3728765375,2481004.925123632,2327255.320204056,2059237.974481144,2444572.37924712,2179857.6446404625,2686508.0720010037,,,,3133447.5593041037,2094941.026768051,2327413.719966455,2852726.88886578,2562330.116983721,2618557.101475635,2553119.0109461844
95,6.7142857142857135,2495498.4422779586,2228517.081706421,2430970.4836450606,2123275.6666566874,2628996.5683634076,2042807.754141508,2682593.599889376,2212800.9557909607,2010349.655851214,,3158239.468318522,2027402.4834293013,2320377.193425843,,,2618815.2142950357,2812000.3014351423
96,6.785714285714286,2598306.925455117,2363122.132628572,2554106.1317738057,2247875.8924210286,2595797.318837871,1789058.4085236276,2261418.945848244,2385174.361401373,,,3099804.3107938077,2096140.7986066677,2226360.459784555,,,2640476.361223939,2530173.5152990236
97,6.857142857142857,2591667.5275838147,2432292.725442726,2443811.9852762674,2293864.957477487,2727111.90985341,2103838.5475506685,2317651.134739552,2255691.304993071,2229116.2230343535,,2806092.824626257,2021573.7260212754,,,2556479.9410405974,2788334.4342397335,2571217.297028338
98,6.928571428571428,2544315.735946732,2384598.1002502562,2541899.891067502,2200301.124652131,2547221.4474295746,2017682.016669012,2486098.3921811343,2199204.1195295625,1980965.191991934,,3185455.751264039,2221783.699827988,,,2541074.052025938,2836373.9576809877,2682667.0551253646
99,7.0,2554706.2793281907,2364089.713144269,2148250.1991392975,2265317.7753195986,2522515.6767921527,1921163.7911395421,2528197.000003956,2404312.0296069635,2040316.4315919958,,3171107.761469606,2075232.2223736858,2011976.2419020997,2654794.576501102,2543888.5303822793,2702459.0825722245,2554081.9617963275
100,7.071428571428571,2650960.62125983,2454365.906868863,2285281.9617089373,2269145.505909507,2505645.3968900084,2116724.664741675,2556525.996068572,,2167582.2656131387,,3035370.4909674376,2072457.9655768329,,2468580.828107561,2424269.9036265346,2747017.672654926,2729995.648112158
101,7.142857142857142,2433782.035734783,2401879.983378073,2187197.5434806375,2107564.1743307025,2777903.335589113,2123544.229658875,2537506.010749519,2087277.0466474772,2114444.23855194,,3245222.948152493,2096048.251244782,2287607.3351313923,,2438693.1460600793,3035398.4309830363,2688515.4325085636
102,7.2142857142857135,2330988.212445235,2858266.688511452,2398137.175376063,2272537.110847663,2633224.671985087,2087035.7483638464,2549045.6019506627,2456778.183657258,2120033.1474212124,,3264874.395676187,2135617.135989343,2175434.6377089764,,2316636.8013538504,2706613.6854052097,
