Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0001_7,0001_8,0002_1,0002_2,0002_3,0002_4,0002_5,0002_6,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_8,0004_1,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8,0005_1,0005_2,0005_3,0005_4,0005_5,0005_6,0006_1,0006_2,0006_3,0006_4,0006_5,0006_6,0006_8,0007_1,0007_2,0007_3,0007_4,0007_5,0007_6,0007_7,0007_8,0007_9
38,2.642857142857143,,2483579.495391386,2417731.2919123666,,,2683714.3466644348,,,,,,2808221.206225897,3084422.667518796,,,,,2318162.0496015428,,2779765.803826915,,,,,,,,,,,,,,1536250.4342653896,,,,,,,,,3102143.9578519575,,3317566.6811987334,3057625.3124169586,3661988.009701211,,3223815.623912335,,
39,2.714285714285714,,2354804.7964182775,2380187.858018456,,,2596279.6743269353,,,2228033.33860469,,,3028204.8472567257,3309957.7502644253,,,,,2305668.2051668516,,2896995.5463809627,,,,,,,,1490221.778383025,,,,,,,,,,,,,,,2881563.122327828,,3205423.5275252825,3058746.962740426,3451916.2140513635,,3190960.370284406,,
40,2.7857142857142856,,2657949.6361694722,,,,,,,2225722.4911250314,2907736.461528536,,2969674.597846063,3147291.0514843375,2355038.5236675,,,,2529116.4739534007,,2896995.5463809627,,,,,,,,,,,,,,,,,,,,,,,2844268.6686176597,,3295521.1061582896,2974774.314336401,3427318.127093954,,3289072.434465292,,2418186.213960319
41,2.8571428571428568,,2671398.198593591,2527001.225661836,,,2549294.375166472,,2661174.2281047557,,3160593.0403676615,,2954487.8863160103,3124365.7103297347,,,,,2604359.512791792,,2698124.34306312,,,,,,,,,,,,,,,,,,,,,,2604638.271518222,2845031.7826641756,,3111224.577644505,2999694.200421031,3400829.0058166706,,3119559.3073137053,,2481904.5361985415
42,2.9285714285714284,,2786190.4726772965,2478385.596194439,2608370.2111476613,,,,2512004.853066503,,3089676.753103068,,2829632.019818258,3266329.0142607535,,,,,,,2838063.7996948855,,,,,,,,,,,,,,,,,,,,,,2569650.138924987,2937953.2624360477,,2992310.352410164,2729058.7242853297,3444689.201344435,,2987054.232525915,,2404632.3485685317
43,3.0,,2660228.8910516268,2283554.056593946,,,,,2587416.1639280003,,3183291.7782004946,,2851758.20015553,3618644.8191114524,,,,,,,2989585.4776350176,,,,,,,,,,,,,,,,,,,,,,3008517.6705957185,3098666.1039809515,,3202491.8951308355,2956742.654838381,3487722.584519389,,3211730.0333447396,,2445793.6933481973
44,3.071428571428571,,2675830.2015820337,2576828.8074678713,2741568.3059921586,,2561773.9209694383,,,,2992229.265841064,,2790633.0139316767,3310104.587764804,,,,,2713423.0355532654,,2864174.672941212,,,,,,,,,,,,,,,,,,,,,,2899864.123854239,3009042.9426804343,,2980853.1612754622,3001546.0562407468,3654620.869827547,,3123513.168023706,,2441129.2470500725
45,3.142857142857143,,2619779.735656874,2405500.365647482,,,2612506.6089947238,,2544968.4514559777,,3023873.6160872173,,2819015.3813085007,3247534.0146357175,,,,,,,2948499.501085562,,,,,,,,,,,,,,,,,,,,,,,3247623.9670347376,,3090891.441931126,3089340.5160021777,3475407.0351273553,,3305840.585335282,,2443730.7773248157
46,3.214285714285714,,2653109.1101351893,2484009.509870273,,,2516665.2179968744,,,,2854706.709415458,,,3574061.7051911494,,,,,2590612.545684885,,2754213.2415757417,,,,,,,,,,,,,,,,,,,,,,,3015823.4398928597,,2906664.254576644,2947316.4488603654,3330639.6603717776,,3055198.566477187,,2377820.665355707
47,3.2857142857142856,,2900307.6637685136,2535507.433967524,,,2582818.624168004,,,,2770965.5790142184,,,3368101.8312384062,,,,,2503988.1434397968,,,,,,,,,1389139.4765823958,,,,1343182.3600016823,,1753409.7820226797,,,,,,,,,,2975948.2943138103,,2919786.873753391,3185866.8512165844,3302667.165683175,,3027847.212177043,,2397032.0411177273
