Condition_mM,Track,Time,Speed,Speed_norm_pct,V0
950,0001_1,4.357142857142857,73.38300349127738,49.6710055394718,147.73810736116965
950,0001_1,4.428571428571428,40.43962655992491,27.372508882264015,147.73810736116965
950,0001_1,4.5,136.38939495458303,92.31835806665448,147.73810736116965
950,0001_1,4.571428571428571,160.48807846068271,108.63011671615888,147.73810736116965
950,0001_1,4.642857142857142,147.73810736116965,100.0,147.73810736116965
950,0001_1,4.714285714285714,106.10284860224111,71.81819944589893,147.73810736116965
950,0001_1,4.785714285714286,103.9390625412873,70.353590145291,147.73810736116965
950,0001_1,4.857142857142857,143.79198423342592,97.32897408919908,147.73810736116965
950,0001_1,4.928571428571428,148.8784989005965,100.77190073691615,147.73810736116965
950,0001_1,5.0,142.07359833042236,96.16584432281951,147.73810736116965
950,0001_1,5.071428571428571,115.71250583528477,78.32272113274531,147.73810736116965
950,0001_1,5.142857142857142,136.41755085425453,92.33741604714064,147.73810736116965
950,0001_1,5.214285714285714,137.91484177679223,93.35089249494521,147.73810736116965
950,0001_1,5.285714285714286,136.70207062141472,92.52999991885942,147.73810736116965
950,0001_1,5.357142857142857,153.35398493766002,103.80123833775767,147.73810736116965
950,0001_1,5.428571428571428,175.50231820561393,118.79285672488695,147.73810736116965
950,0001_1,5.5,206.14456530135345,139.5337797291526,147.73810736116965
950,0001_1,5.571428571428571,243.25682915027116,164.65408518845484,147.73810736116965
950,0001_1,5.642857142857142,210.41816269338705,142.42646426963213,147.73810736116965
950,0001_1,5.7142857142857135,134.06875124386724,90.74757599006907,147.73810736116965
950,0001_1,5.785714285714286,83.08572479508898,56.2385198234417,147.73810736116965
950,0001_1,5.857142857142857,35.25304579670078,23.861850152526333,147.73810736116965
950,0001_1,5.928571428571428,,,147.73810736116965
950,0001_1,6.0,132.1420142949731,89.4434189358678,147.73810736116965
950,0001_1,6.071428571428571,115.52267869613152,78.19423218528019,147.73810736116965
950,0001_1,6.142857142857142,91.59333891457258,61.99709780406072,147.73810736116965
950,0001_1,6.2142857142857135,100.41923807640822,67.97111447415335,147.73810736116965
950,0001_1,6.285714285714286,137.34376057169658,92.96434279879976,147.73810736116965
950,0001_1,6.357142857142857,135.79863830885765,91.91849058745281,147.73810736116965
