Frame,Time,0001_1,0001_3,0001_4,0001_5,0001_6,0002_1,0002_3,0002_4,0002_5,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8
82,5.785714285714286,,,2329470.955720583,2034446.2849140677,,,,2102749.0945189428,,,,,,,,3642209.6895517497,
83,5.857142857142857,,,2258387.8737277845,1976820.4653715082,,,,2093602.1255669715,,,,,,,2625163.918256197,3063683.883176487,
84,5.928571428571428,,,2136406.6540453536,2106069.3791399174,,,,2001874.476111273,,,,,,,2513874.9946548063,2930120.433980047,
85,6.0,,,2283069.6725322874,1918790.700191663,,,,1946915.1090933648,,,,,,,2733819.9016700257,3123230.821507752,
86,6.071428571428571,,,2259766.222067299,1926990.1656092973,,,,1919239.1547610248,,,,,,,2575391.0730164237,2774420.0676150913,
87,6.142857142857142,,,2176952.3222533236,,,,2451087.5468795733,1901238.3260841877,,,,,,,2382897.651148602,2939119.0554907583,
88,6.2142857142857135,,,2181789.5746345827,,,,,1901238.3260841877,,,,,,,2251869.730196048,3427524.237915378,
89,6.285714285714286,,2125622.6107685734,2070013.2169280383,,1865041.2854005059,,,,,,,,,,2346619.12875542,3453230.430455913,
90,6.357142857142857,,2146451.1831774455,2096025.0195005785,2021024.6345793023,1858626.7961254595,,,,,,,,,,2777151.546406675,3413551.690921198,
91,6.428571428571428,,2245172.2281981967,2237966.003349022,,,,,,,3061285.673960772,,,,,2628585.011779976,3206239.555660166,
92,6.5,,,2281674.9155979846,1989329.531177467,1712929.1074716563,,,,,,,,,,2377454.9995173914,3139910.654724644,
93,6.571428571428571,,,2254833.2808844373,2072603.8426765522,1712929.1074716563,,,2084157.0240449458,,,,,,,2542318.639071458,3309983.5099437237,
94,6.642857142857142,1781756.6569632206,,2321117.577134943,,,,,1971681.6551812026,,,,,,,2597109.9407647294,2933309.861031532,
95,6.7142857142857135,,,2210491.592017397,2097022.561660218,,,,1971108.4261014634,,,,,,,2508284.569722338,2862715.071685451,
96,6.785714285714286,,,2398983.512886262,,,,,2059976.3730044211,,,,,,,2515630.8233855157,2939581.8906287723,
97,6.857142857142857,,2164491.4169684723,2283237.5648882845,,,,,1967626.4687101317,,,,,,,2714678.025091714,2981489.2438087817,
98,6.928571428571428,,,2266372.9534443007,,,,2451435.6286634775,2077962.4092480985,,,,,,,,3371930.4827953456,
99,7.0,,,2321772.311134982,,,,,2088677.878291403,,,,,,,2778539.281823549,3207055.924753684,
100,7.071428571428571,,,2307529.8960376214,,,,,1944067.012011882,,,,,,,2764717.0183774685,3358842.6291130222,
101,7.142857142857142,,,2107132.946961149,,,,,,,,,,,,2508839.654849632,3209583.287876286,
102,7.2142857142857135,,,,,,,,,,,,,,,,3250780.368897043,
103,7.285714285714286,,,2106494.592499756,,,,,,,,,,,,2555563.3710483285,3027677.4049397972,
104,7.357142857142857,,,2302659.6070763436,2094554.8439895958,,,,,,,,,,,2581477.2694658116,3341870.027906117,
105,7.428571428571428,1844442.903450995,,2297371.889252916,2064513.9661409426,,,,,,,,,,,2552785.6401854428,3205885.483368546,
106,7.5,,,2293755.8237515064,,,,,,,,,,,,2642250.5533667086,3506157.289199777,
107,7.571428571428571,,,2137500.61735034,,,,,,,,,,,,,3643575.866808876,
108,7.642857142857142,,,2128128.494880466,,,,,2010272.628136149,,,,,,,2682688.074108429,3224543.472340957,
109,7.7142857142857135,,2227646.4140093713,2530710.708321909,,,,,2064989.5909180683,,,,,,,2687585.6157183144,3400908.2415137636,
110,7.785714285714286,,,2178084.7152366047,,,,,2089200.5830358816,2398904.694142587,,,,,,,3518152.629454818,
111,7.857142857142857,,2260048.9321243498,2330534.366128706,,,,,1992142.4801940823,2362645.9435104765,,,,,,,3387815.1061386783,
112,7.928571428571428,,2252776.627873502,2105776.3338152985,,,,2413826.3636211194,1828085.7542716952,2331688.3248845,,,,,,2547971.23735638,3253735.133022331,
113,8.0,,2266199.774558922,2167985.562156605,2113165.7828579773,,,,2046155.629764283,2323245.178479497,,,,,,,3418821.672646023,
114,8.071428571428571,,,1978167.3588882964,2061244.724575246,,,,1987263.4238125558,2323245.178479497,,,,,,2731249.8865647824,3584280.1491221366,
115,8.142857142857142,,,2088147.0224972994,1920742.4938418597,,,,1984420.7487637934,2323245.178479497,,,,,,2570602.6094569485,3420669.962279933,
116,8.214285714285714,,,,,,,,1999394.7015524865,2323245.178479497,,,,,,2626151.961010823,3282962.0185799147,
117,8.285714285714285,,,2353037.5564595,,,,,1832233.7332471197,,,,,,,2507827.2682340806,3458409.0831428366,
118,8.357142857142856,,,2222833.7369683753,,,,,1745617.3001101292,,,,,,,2565557.311594614,3494232.4232153827,
119,8.428571428571429,,2216371.2418888984,2114763.1153075835,,,,,1700825.57456341,,,,,,,2736906.495513023,3401905.9811835596,
120,8.5,,2255463.728286206,2340498.8826161358,2105149.4793541944,,,,1670373.8502069076,,,,,,,2679743.9987493,3176643.647360831,
121,8.571428571428571,,2186289.012564576,2030887.1852629927,2107808.2129958477,,,,1670373.8502069076,,,,,,,,3553545.0761146494,
122,8.642857142857142,,2079988.3913336457,2155314.7990423613,,,,,,,,,,,,,3560115.875850376,
123,8.714285714285714,,2041238.466334567,2451833.3192415205,,,,,,,,,,,,2734009.9907285473,3172723.2590120016,
124,8.785714285714285,,2271153.9740421087,2215514.37910949,1973042.1811300952,,,,2187960.4799469174,,,,,,,,3476714.6217654888,
125,8.857142857142856,,2103179.1861051484,2321985.443743316,2003776.2335209297,,,,2208181.728540787,,,,,,,,3420915.0713943536,
126,8.928571428571429,,2125112.45171306,2326947.227630263,1829727.1552783744,,,2390818.048533778,2126142.105935668,,,,,,,,3505931.3816000517,
127,9.0,,2090319.0178972844,2410973.9678269844,1890069.9038112652,,,,2191682.117777342,,,,,,,2429421.644635148,3498320.0053372397,
128,9.071428571428571,,,2240301.8505455554,2094271.1374705168,,,2397262.439213771,,,,,,,,2299873.6227030354,3433959.4845083887,
129,9.142857142857142,,2173447.067295338,2235461.1312506706,2073206.2971358388,,,,,,,,,,,2423864.052474374,3547091.692876573,
130,9.214285714285714,,2215374.3180193864,2059067.4147663247,1950594.0966926273,,,,,,,,,,,2523425.579392707,3528823.2126209824,
131,9.285714285714285,,2270731.776724714,2313969.983521422,1861012.5501794207,,,,2050354.2896002363,,,,,,,2523974.8515460123,3356675.723355192,
132,9.357142857142856,,,2059592.4415048964,,,,,2100864.7404667283,,,,,,,2595438.507538086,3120542.9011022714,
133,9.428571428571429,,2082750.789927244,,,,1931163.7462500639,,2181867.510004669,,,,,,,2482276.173167278,2994482.251051142,
134,9.5,,2246493.6302470495,2286976.477074959,1833384.19554352,,,,1988877.367653553,,,,,,,2745878.7386046443,3363830.000600915,
135,9.571428571428571,,2257115.747202634,2412302.8308127956,2065408.8887856286,,,2421296.2537828605,1941559.1666775302,,,,,,,2604864.2029237463,3191542.7420608425,
136,9.642857142857142,,2116282.342758272,2125215.363094428,2045892.0821318107,,,,1941559.1666775302,,,,,,,2267227.5579737383,2809958.457699815,
137,9.714285714285714,,2272530.238109507,2362152.98284179,1949841.8087123518,,,,1870388.2675867248,,,,,,,2423528.8865714124,3197614.5866939435,
138,9.785714285714285,,2139212.4216017113,2077824.5905457279,,,,,,,,,,,,2515537.038250639,3263589.539538588,
139,9.857142857142856,,,2283444.637912463,,,,,,,,,,,,2565911.9072901295,3474128.110008054,
140,9.928571428571429,,,2294007.985466186,2016252.6538855527,,,,,,,,,,,2497704.004141922,3324869.116412303,
141,10.0,,2264683.2327581686,2238052.9866023855,2029820.2020017868,,,,,,,,,,,2472241.917545604,3428789.8623429253,
142,10.071428571428571,,,2475442.3231898495,1974014.8477837753,,,,,,,,,,,2402777.974231532,3252656.918386989,
143,10.142857142857142,,2132380.589819491,2030092.5892335956,,,,,,,,,,,,2333907.1156227104,,
144,10.214285714285714,,,2229032.6235867958,2048854.2700127403,,,,,,,,,,,2300575.1433724123,,
145,10.285714285714285,,,2091391.517927844,,,,,,2460536.6245664274,,,,,,,,
146,10.357142857142856,,,,2039242.9755935208,,,2439439.72995108,,2387433.1829911866,,,,,,,,
147,10.428571428571429,,2221963.574216386,2080350.4779920864,,,,,,2334350.422196432,,,,,,,,
148,10.5,,2154283.879201242,2141553.225876705,1996883.5869642477,,,2349503.7969019692,,,,,,,,,3587064.7395048733,
149,10.571428571428571,,2207435.35914777,2427491.79161811,1917643.5069842262,,,2448173.507635513,,,,,,,,,3589257.776969759,
150,10.642857142857142,,2130467.594235593,2191291.9285885417,1997006.6283955888,,,,,2289155.865209612,,,,,,,3423954.250693372,
151,10.714285714285714,,2177744.391605692,2289698.179137412,1974226.575363853,,,,,,,,,,,,3382836.972627628,
152,10.785714285714285,,2198492.5440276926,2320140.025186469,1879111.6521142265,,,,,,,,,,,,3357288.0551797887,
153,10.857142857142856,,2203789.6381176137,2202829.73966572,2074957.5539092312,,,2339149.3753795056,,,,,,,,2370951.6023373194,3418580.127626196,
154,10.928571428571429,,2129503.5456241556,2401515.0828198525,,,,,,,,,,,,2494853.2070302973,3375690.3324046778,
155,11.0,,,2167616.353629818,,,,,,,,,,,,2675094.542910356,3307755.7461554674,
156,11.071428571428571,,,2182634.025419734,2036095.623821426,,,,,,,,,,,2621486.616911138,3266728.692040872,
157,11.142857142857142,,2140058.2383939694,2270795.5579324616,,,,,,,,,,,,2432400.2232459523,3300930.0079535297,
158,11.214285714285714,,,,1927461.7262887764,,,2383155.1240890617,,,,,,,,2456584.5740360646,3379735.7992816013,
159,11.285714285714285,,2210272.49744036,,2046103.3837097222,,,,,,,,,,,2544976.0687237,3496681.4745529364,
160,11.357142857142856,,2186332.690167386,2221661.156186769,1972159.442677115,,,2421447.456621347,,,,,,,,2494113.9162216503,3362137.35331919,
161,11.428571428571429,,,2034587.4717352646,,,,,,2482086.687347755,,,,,,2783730.342135495,3415320.2022236134,
162,11.5,,2246823.407896499,2259437.057432914,2046094.6366065138,,,,,,,,,,,2661721.98061238,3335025.784020398,
163,11.571428571428571,,,2206865.8168003773,2046266.4643391306,,,,,,,,,,,2738367.0029901406,3420618.6312897583,
164,11.642857142857142,,2152020.584391047,2227083.1578070987,2077396.2708088602,,,,,,,,,,,2593049.9380829055,3131731.57090432,
165,11.714285714285714,,,1976414.4502293323,1943028.1169432716,,,,,,,,,,,,3487186.0234459513,
166,11.785714285714285,,2146565.359270441,2401845.8829857446,1649764.4707328964,,,,1997246.0527349166,,,,,,,2281843.078600158,3443702.5011063204,
167,11.857142857142856,,,2291294.716315519,1893668.8535929706,,,,1969828.058546941,,,,,,,2399502.015504512,3418265.9122763174,
168,11.928571428571429,,2267401.9224789045,2309709.7339625526,1944417.8808627746,,,,2099564.5984419174,,,,,,,2619478.0445461804,3312620.7582358797,
169,12.0,,2190183.3768262328,2369047.9739099443,2100411.560896422,,,,2170544.229304154,,,,,,,2529477.3568089134,3027252.0443635965,
170,12.071428571428571,,2166149.2589892056,2431070.0667655193,2064121.975950254,,,,,2470081.2746446007,,,,,,2114923.140165338,3126186.675198868,
171,12.142857142857142,,,2330771.9476468405,1940839.9516546156,,,,1954296.4123741009,,,,,,,2678642.0998223205,2977176.4101228816,
172,12.214285714285714,,2231346.6363866506,2293900.1602167385,1962429.1910693038,,,,2145733.077537478,,,,,,,2673822.9448908386,2696825.578694213,
173,12.285714285714285,,2218893.888051525,2430293.706031526,1831041.7124716486,,,,2014747.1603560182,,,,,,,2479871.7667616373,3013987.737950507,
174,12.357142857142856,,2083685.782772133,2310158.6335131954,1905666.1158175105,,,2268030.146901088,,,,,,,,2650041.7623171145,3414580.1186809377,
175,12.428571428571429,,2083606.8432188581,,1998468.4144653901,,,2207122.1313789757,,,,,,,,2284681.00780008,3409028.1611486813,
176,12.5,,1952793.5753048884,,2005939.2921858332,,,2198745.039407505,2169608.878711391,,,,,,,2556453.9593267916,3770754.6220219815,
177,12.571428571428571,,1952425.6498058985,,,,,2223154.473844061,2125836.4652670873,,,,,,,2424995.2079629926,3453549.885252056,
178,12.642857142857142,,1900356.0507817494,,,,,2360285.687945501,2216088.9700047607,,,,,,,2397772.4508378524,3267952.502851892,
179,12.714285714285714,,2107013.863496661,2013770.1303320914,,,,2244058.9567192146,2070150.8208356756,,,,,,,2524195.767440493,3503309.4085415346,
180,12.785714285714285,,2175018.529174765,2129328.1585376537,,,,2164031.2887823614,,,,,,,,2295116.834558015,3419973.5253712437,
181,12.857142857142856,,2265004.1690799193,,,,,2049432.2553322043,,,,,,,,2570677.9580913493,3550437.450606007,
182,12.928571428571429,,2078294.290781181,,,,,2158749.8598536504,,,,,,,,2689352.839648162,3291936.363031029,
183,13.0,,2230289.448297879,,,,,2170576.213522105,,,,,,,,2631963.6571492837,3336827.9440143066,
184,13.071428571428571,,2168418.679522665,,,,,,,,,,,,,2574670.4482870135,3441479.7689288408,
185,13.142857142857142,,2115974.4418219323,,,,1884067.0078207266,2058800.621003102,,2459952.4669368584,,,,,,2381871.6138038626,3376765.1305384445,
186,13.214285714285714,,2123514.439382036,,2064078.3966716446,,,,,,,,,,,2674373.631872465,3083801.697739423,
187,13.285714285714285,,2143764.0878960416,,1938444.2894340411,,,,,,,,,,,2614589.4985573357,3441252.109540383,
188,13.357142857142856,,2276972.994535938,,1938444.2894340411,,,,,2431304.1329940185,,,,,,2636254.0673767547,3250945.1134401266,
189,13.428571428571429,,2222929.496940465,,1978732.1747061608,,,,,2456568.570773947,,,,,,2476573.2982579772,3664584.8342030053,
190,13.5,,2264463.9844869627,,1978732.1747061608,,,,2156361.890725739,,,,,,,2533168.3097204426,3416294.8365571387,
191,13.571428571428571,,,,2105199.9401429095,,,,2131524.8058884037,,,,,,,2600395.6888215155,3608807.5743782846,
192,13.642857142857142,,2260726.623801786,,2047315.69426353,,,2390250.8726345026,2025597.2341285937,,,,,,,2597005.5622629593,3468296.1720534265,
193,13.714285714285714,,,,,,,,2169560.7891238956,,,,,,,2481091.960026014,3446877.5694458727,
194,13.785714285714285,,2249180.343596102,,,,,,2105966.1278248653,,,,,,,2468039.819468983,3411338.9591707843,
195,13.857142857142856,,,,,,,,2117443.438860382,,,,,,,2421170.9430389795,2928992.931290433,
196,13.928571428571429,,,2093067.0761625387,1997989.879289856,,,2360653.4755142084,2162618.6938533224,,,,,,,2500720.6618925184,3176387.4093223936,
197,14.0,,,2101290.058915491,1924119.2737161363,,,2442777.6806666283,2047441.0459152705,,,,,,,2619479.2582085296,3137420.90269704,
198,14.071428571428571,,,,,,,,,,,,,,,2656468.9933094503,3542945.742691869,
199,14.142857142857142,,,,1974015.3427399097,,,,2123664.010062482,,,,,,,2604404.0118697183,3359402.226756171,
200,14.214285714285714,,,,1876478.3909694015,,,,2179267.578748407,,,,,,,2421761.0938527216,3069448.7028522524,
201,14.285714285714285,,,,1990436.8385498486,,,,2088549.5196293215,,,,,,,2510797.57487129,3168085.4786863895,
202,14.357142857142856,,,,2092203.9940345492,,,,2113385.264991913,,,,,,,2415916.0901325387,3408850.397636875,
203,14.428571428571429,,,,,,,,,,,,,,,2630988.4635871905,3420006.8411751883,
204,14.5,,,,,,,,1883771.593848142,,,,,,,2608048.1979528572,3395925.8409689823,
205,14.571428571428571,,,,,,1968193.3520466196,,1883771.593848142,,,,,,,2577327.955197566,3257288.655947126,
206,14.642857142857142,,,,,,,,,,,,,,,2706300.8324724836,3379495.1829841444,
207,14.714285714285714,,,,,,,,,,,,,,,2580639.8438739544,3229091.9558255663,
208,14.785714285714285,,,,,,,,,,,,,,,2531970.5977798123,2922516.4542720667,
209,14.857142857142856,,2243068.3935747985,,2105920.469842177,,,2431066.1245695073,,,,,,,,2619660.6979162805,2941572.612264475,
210,14.928571428571429,,,,2070054.3344818202,,,2350940.829152457,,,,,,,,2765197.970194587,3087625.482539759,
211,15.0,,,,,,1848633.4242035612,,,,,,,,,2418541.7490929877,3291699.418174334,
212,15.071428571428571,,,,2016735.1174631214,,1881022.8057879347,,,,,,,,,2582898.09660711,2981492.274173871,
