Frame,Time,0001_1,0001_2,0001_3,0002_1,0002_2,0002_3,0002_4,0003_1,0003_2,0003_3,0003_4,0004_1,0004_2,0004_3,0004_4,0005_1,0005_2,0005_3,0005_4
23,1.5714285714285714,1930079.9984274826,2189416.5117927794,,2206982.587897398,1830574.0230352718,2152653.770020362,,2302373.827125486,1939019.33917467,2265670.840726109,2671878.550851912,2612637.7545101196,2722237.99172399,2744195.0319809075,,2574063.415870803,2984256.9681719467,2857749.171953058,
24,1.6428571428571428,1936603.76032606,2334278.745949461,,2283151.238180074,1729067.2302470624,,,2284241.746143297,2090878.9920469983,2317797.5782488333,2672216.998781614,2407187.6298279422,2459539.9230530346,2402304.0437515066,,2744159.2697074874,2701550.6903666817,2758802.4244928723,
25,1.7142857142857142,1982756.7585780795,2247307.0694913208,2136431.6940152682,2188047.440900066,1648398.5602496979,2167890.3932607095,,2565705.5408224836,1974587.2575647146,2156546.5290796817,2884748.381185437,2671678.910935025,2760566.907578622,2412618.050546619,,2618926.621376997,2770266.6462520887,3032391.53461829,
26,1.7857142857142856,1987485.1111525304,1939479.7687851032,,2130723.6044505257,1797069.2553758477,2178006.806869623,,2370771.1289059864,2119801.925551071,2253433.7145063803,2859727.3534466038,2450911.2220482538,2749156.333576551,2553771.0350048044,,2650072.5553253503,2660693.551976524,2829808.2633235296,
27,1.857142857142857,1760326.9972446754,2199254.7329744636,2223828.644479232,2264483.4645492253,1832853.1673803634,2320217.7530985037,,2386113.7065325095,2052335.3492675321,2108705.4279994103,2521171.060608843,2567945.088234764,2704379.302493325,2711114.8168306015,,2762658.9022752997,2777889.2456943905,2999841.4393674475,
28,1.9285714285714284,2015502.814497851,2225518.6534224637,1834862.7924943338,2023089.859070872,1936992.7746256653,,,2746723.0300678476,,1969540.6878877196,2557746.1037275554,2702239.414511148,2644678.7494140984,2618290.4863435454,,2553950.8087774054,2947903.6961756283,2938090.1327381083,
29,2.0,1896098.3787205862,2200595.655092956,,2037466.740166949,1868497.7081692666,,,2505362.7375402953,2063726.4028684478,2133973.000976968,2831405.215208944,2538106.8041301756,2777253.54476604,2631690.88450224,,2725835.4229399906,3024787.2464713873,2661972.6590149463,
30,2.071428571428571,2057947.8470956017,2398809.485837374,,2208335.892047555,1920197.124227468,,,2473909.43129666,,2202086.8888969445,2301625.9102363996,2479621.2236150987,2468596.966983267,2679426.8408698053,,2824610.7917338163,2790438.094838797,2921394.638031055,
31,2.142857142857143,1954835.4032310876,2233095.62900648,,2168835.411780464,1965355.3747510668,2205802.517054756,,2452746.2906639036,1908781.150095434,2144400.595511669,2644523.1650663307,2567109.592614696,2532079.412286908,2621085.682436674,,2690025.065543893,2980435.6411905517,,
32,2.214285714285714,1832534.468422191,2066876.2904530696,,2168822.8540567025,1913536.8980225255,2188249.381223757,,2702329.6936611608,1865488.5866781294,2166157.7773225135,2722807.1023308,2635783.795115603,2457907.2534998497,2509324.037132419,2279989.982393862,2895858.9876404456,2848907.3501766697,2999818.2305126595,
33,2.2857142857142856,1817579.8329884987,2161731.0114894835,1987958.5907599437,2330399.375614176,,2255747.4765760847,,2451566.971790083,1974887.0893003107,2205220.931943519,2800179.3947745296,2592176.8737640344,2655844.2957373313,,,2570075.7335047396,2763877.0264228866,2914834.984703569,2878201.0309625478
34,2.357142857142857,1902899.1145268134,2391410.5205517993,1850808.7197993104,,1849066.6174245568,,,2289845.205613464,1913893.2605997,2137992.2831138475,2591091.978536559,2571031.95486596,2716209.47947311,,,2771596.88016969,2852558.2698619585,2959392.641198927,2658177.4823364094
35,2.4285714285714284,1901461.7600773512,2185360.7893201956,,2294520.4794159606,1643562.7734272091,2302783.9891754766,,2591976.635635419,1959865.0634394747,2332707.436447231,2842678.4983652513,2493107.9416350718,2529881.575704371,2765350.177920148,2343164.9622670417,2786965.9046583907,2963577.856131846,2863403.81199525,
36,2.5,1957830.8671446485,2235335.3653675695,2125694.691460471,2017568.7393584684,1686742.6607331967,2309603.3482462727,,2446877.6241432168,,2124175.8243187466,2718746.1837965725,2592457.9247625726,2672856.1425436065,2649365.347819297,,2702100.6259817355,2888769.866273392,2812611.354822136,
37,2.571428571428571,2068832.1576362497,2081689.119468598,2182916.755829223,2224222.6071232315,1827343.383861572,,,2370864.1606761413,2100197.8776828046,2310256.145803798,2845635.439202822,2667382.2760897586,2551967.4295656052,2586987.805330457,,2563900.8145727175,,2980786.040074518,
38,2.642857142857143,1927352.339354299,2255109.705980999,,2005863.495147942,1862536.5633734183,1961909.6055591323,,2361425.524320936,2011060.762757096,2347718.666330154,2617638.131095009,2464920.0442060265,2564657.4915627176,2498963.3750052038,,2497604.5938825128,,3097247.7586617563,
39,2.714285714285714,1835792.887719354,2304498.4053045404,2042529.6413531087,2343272.0415835246,1790561.7204913902,2238823.4147102707,,2485599.4990967955,1978876.9929041849,2201454.5996943107,,2691680.010762269,2736375.7880855473,2843698.411705136,,2759900.8292833734,2839413.430115902,2635258.1463863333,
