Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0001_7,0002_1,0002_2,0002_3,0002_4,0002_5
43,3.0,2278814.304114572,2582043.498181984,2648208.9378783004,2050628.9857502657,2170110.4525365806,,,,,,3037279.496292838,
44,3.071428571428571,,,2670637.312490702,,2413534.4472508514,2311483.740541377,,,,2189722.8873161655,3179335.322164476,
45,3.142857142857143,2299616.9638479105,2614456.7483402863,2837246.327261493,,,,,,,,3174547.7093947567,
46,3.214285714285714,,2596313.5318489517,2828279.630353093,,2602422.6499716565,,,,,,2930301.428561938,
47,3.2857142857142856,2082301.5309666377,2440402.1290115914,2801655.9598179427,2057773.8829860135,,,,,,,2685181.3991322075,
48,3.3571428571428568,2225905.051267297,2606006.452413075,,1963878.3003379293,2406804.5282781837,,,,,,3002838.3545021606,
49,3.4285714285714284,,2498717.4701711144,2786200.91759671,2061441.9366196766,2195942.7096290165,2321233.9633228695,,,,,2905480.332577932,
50,3.5,,2482089.6371145337,2819694.1974280896,2244038.5358356806,2028009.2497090711,,,,,,2794993.0422938047,
51,3.571428571428571,2223896.8985229023,2529089.502837589,2575108.5922447075,1784337.6144865383,2106088.6748436224,,,,,,3167792.4020688967,
52,3.642857142857143,2289140.527972715,2467004.8756442047,,,1943551.3791238246,,,,,,3217907.8695202423,
53,3.714285714285714,,2380238.8360805996,2772620.5991896377,2041393.6945109898,2272708.45983849,,,,,,3164978.449042316,
54,3.7857142857142856,,,,1963834.9740722193,2505191.387850164,,,,,,2579763.01169615,
55,3.8571428571428568,,2518157.545815277,2756218.7203288767,1976581.4445689924,2080713.7827110763,,,,,,2727789.5457212436,
56,3.928571428571429,,2595656.0696257986,,2207329.1825960455,2234756.456697527,2352656.4786782227,,,,,2991411.940586281,
57,4.0,,2502961.8609437193,2816452.0976869566,,2107106.518853611,2347131.350179355,,,,,3007796.1742132753,
58,4.071428571428571,,2550103.5716343787,2843825.317884513,,2116424.5030440995,2374799.8156212196,,,,,3056158.1361212246,
59,4.142857142857142,,2506909.3952917424,2754523.83469483,,,2281352.9429759933,,,,2258631.6473737443,3286296.8774769004,
60,4.214285714285714,,2721272.9717612965,2748477.981887967,,,2373781.0495472965,,,,,2742419.5283996053,
61,4.285714285714286,2229606.599706905,2504703.2849759227,2741347.647123071,,,,,,,2252685.8094564723,2679780.513737508,
62,4.357142857142857,,2478311.098819906,2767244.055126247,,,,,,,,3026282.6024163165,
63,4.428571428571428,2223334.342976903,2505562.906313433,,,,,,,,2227819.052292669,2908976.7582965125,
64,4.5,,2547379.1944420463,,,1927913.5655736458,,,,,,2844808.27901138,
65,4.571428571428571,2293613.282175367,2511813.228270974,2725608.2187717594,,2189511.4827364692,,,,,,3038493.480205804,
66,4.642857142857142,,2662877.159532503,,,2139798.373151941,,,,,,3154373.986476762,
67,4.714285714285714,,2366041.932810371,2645603.519147989,,2173170.8895138954,,,,,2257310.2261516876,2969965.0318595576,
68,4.785714285714286,,2560377.661424831,,,,,,,,,2869102.606612219,
69,4.857142857142857,,2499624.773309786,2563162.0211996,,,,,,,,2767731.945679846,
70,4.928571428571428,,2711883.914439167,2838428.7478346503,,,,,,,,2975780.710459953,
71,5.0,,2506834.9273776878,,,,,,,,,2997669.3105091183,
72,5.071428571428571,,2617246.8656353746,2812661.22333127,,2328928.2777169487,,,,,,3013134.381227943,
73,5.142857142857142,,2223262.1230269563,,,2256227.987862484,,,,,,3178742.7476968984,
74,5.214285714285714,2259700.2819030355,2366876.091983018,2817217.3965191892,,2216247.3310879953,,,,,2205229.4815848926,,
75,5.285714285714286,,,2651032.436245616,,2008740.433318278,,,,,,2961219.687203354,
76,5.357142857142857,,2495107.0737472097,2790841.741931977,,2085941.1063566036,,,,,,2844891.5386365578,
77,5.428571428571428,,2696746.695645736,2621082.604520297,,1956012.2056423535,2397111.026487491,,,,,2978121.8450931762,
78,5.5,,2510100.183484618,2723979.2607894405,,1895301.168186488,,,,,,3215611.1438233764,
79,5.571428571428571,,2531084.1942795333,2673363.392331462,,,2383407.173337619,,,,,3078054.0417743945,
80,5.642857142857142,2239254.849555368,2499229.1083882935,,,,,,,,,2643198.2077031643,
81,5.7142857142857135,,2540071.834152397,,,,,,,,,3198874.657323528,
82,5.785714285714286,,2542589.265549704,2832859.8565837704,,,,,,,2238152.551312383,2953592.998767764,
83,5.857142857142857,2237897.8411738183,2306719.5297581106,2753454.153811671,,,,,,,,2794901.9867872423,
84,5.928571428571428,,2271813.073648097,,,,,,,,,3271649.8668100797,
85,6.0,,2275545.365988137,2799440.2747672927,,,,,,,2226238.9250463704,2830523.12017688,2501751.443796998
86,6.071428571428571,,2304918.1227406743,2808227.013145333,,,2282444.3195361914,,,,,3186415.6822603582,2576178.594634951
87,6.142857142857142,,2256835.8219101545,2808227.013145333,,,2279418.454091328,,,,,,2668393.534111009
88,6.2142857142857135,2188264.2891846937,2244225.0260542547,2808227.013145333,,,2236059.176683117,,,,,2848930.159305202,2717548.395337976
89,6.285714285714286,2125593.6945092827,2478223.7973416145,,,,,,,,,,2801344.5148630557
90,6.357142857142857,2041790.7243590245,2182770.978803497,,,,2236833.428176311,,,,,3216017.197990873,2849482.3038293323
91,6.428571428571428,2041790.7243590245,2306283.8662311444,,,,2313951.974332347,,,,,3082726.587941549,
92,6.5,,2404427.4868212496,,,,,,,,,2874614.720283823,
93,6.571428571428571,,2221060.502501417,,,,,,,,,,
94,6.642857142857142,,2469688.640504615,,,,,,,,,3203325.164709187,
95,6.7142857142857135,,2349166.4645711035,,,,2337696.14420578,,,,,,
96,6.785714285714286,,2536593.4753342792,,,,2406691.41194585,,,,,3186763.6235495396,
97,6.857142857142857,,2308361.0812225156,,,,2310467.9817393315,,,,,2869272.7624388933,
98,6.928571428571428,,2364658.1029801616,,,,2310296.381136624,,,,2221674.724161024,3065927.158757891,
99,7.0,,2463045.263034291,,,,2383589.6359001244,,,,,,
100,7.071428571428571,,2359692.6714921375,,,,2192306.2073594797,,,,,,
101,7.142857142857142,,2202391.8541270876,,,,2391602.3677394106,,,,,2897284.464426929,
102,7.2142857142857135,,2167222.50767175,2840670.5912837433,,,2359070.375803325,,,,2212746.332502887,2853552.624827578,
