Frame,Time,0001_1,0001_10,0001_4,0001_5,0001_6,0001_7,0001_8,0001_9,0002_1,0002_2,0002_3,0002_4,0002_5,0002_7,0003_1,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8,0003_9,0004_1,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8
82,5.785714285714286,,,,,,,,,2384334.857646089,,,,2444845.873203153,,,,,,,,,,,,,,,,,,
83,5.857142857142857,,,,,,,,,2300014.809674637,,,,2566525.8811075306,,,,,,,,,,,,,,,,,,
84,5.928571428571428,,,,,,,,,2326986.930229743,,,,2427723.226111618,,,,,,,,,,,,,,,,,,
85,6.0,,,,,,,,,2481163.1589022363,,,,2215014.8188797208,,,,,,,,,,,,,,,,,,
86,6.071428571428571,,,,,,,,,2517896.513418791,,,,2354179.7324586893,,,,,,,,,,,,,,,,,,
87,6.142857142857142,,,,,,,,,2323851.712971351,,,,2359511.281560234,,,,,,,,,,,,,,,,,,
88,6.2142857142857135,,,,,,,,,2408337.7638513204,,,,2408610.4874012577,,,,,,,,,,,,,,,,,,
89,6.285714285714286,,,,,,,,,2364780.0293475036,,,,2455980.4746428407,,,,,,,,,,,,,,,2209697.147090942,,,
90,6.357142857142857,,,,,,,,,2316823.197282621,,,,2476750.570557225,,,,,,,,,,,,,,,2209697.147090942,,,
91,6.428571428571428,,,,,,,,,2520299.214270935,,,,2615970.7278087656,,,,,,,,,,,,,,,2148502.527494792,,,
92,6.5,,,,,,,,,2499551.994497173,,,,2516235.0209909906,,,,,,,,,,,,,,,2148502.527494792,,,
93,6.571428571428571,,,,,,,,,2336966.541986444,,,,2566824.2771262103,,,,,,,,,,,,,,,2114573.736726828,,,
94,6.642857142857142,,,,,,,,,2164466.5017060493,,,,2456630.695102939,,,,,,,,,,,,,,,,,,
95,6.7142857142857135,,,,,,,,,2693139.3582250928,,,,2444432.80168971,,,,,,,,,,,,,,,2096902.9454292667,,,
96,6.785714285714286,,,,,,,,,2370902.2743673553,,,,2433739.7270858926,,,,,,,,,,,,,,,2096902.9454292667,,,
97,6.857142857142857,,,,,,,,,2398908.7246972574,,,,2357128.6370001044,,,,,,,,,,,,,,,2096902.9454292667,,,
98,6.928571428571428,,,,,,,,,2444527.432881935,,,,2393282.2145398385,,,,,,,,,,,,,,,,,,
99,7.0,,,,,,,,,2261570.428138466,,,,2461875.2423041654,,,,,,,,,,,,,,,,,,
100,7.071428571428571,,,,,,,,,2357796.259053123,,,,2413307.8333922485,,,,,,,,,,,,,,,,,,
101,7.142857142857142,,,,,,,,,2318528.588795007,,,,2386948.1410195166,,,,,,,,,,,,,,,2209345.259444991,,,
102,7.2142857142857135,,,,,,,,,2285894.9472529953,,,,2540787.008329151,,,,,,,,,,,,,,,,,,
103,7.285714285714286,,,,,,,,,2282129.602302598,,,,2593258.8534110244,,,,,,,,,,,,,,,,,,
104,7.357142857142857,,,,,,,,,2325591.976428703,,,,2415894.455156774,,,,,,,,,,,,,,,,,,
105,7.428571428571428,,,,,,,,,2461620.8101744093,,,,2352438.2316051307,,,,,,,,,,,,,,,,,,
106,7.5,,,,,,,,,2453315.0440216963,,,,2436437.837205072,,,,,,,,,,,,,,,,,,
107,7.571428571428571,,,,,,,,,2369993.8589685024,,,,2503112.9114090055,,,,,,,,,,,,,,,,,,
108,7.642857142857142,,,,,,,,,2327630.060731035,,,,2341207.287713666,,,,,,,,,,,,,,,,,,
109,7.7142857142857135,,,,,,,,,2539262.268877284,,,,2292879.446952726,,,,,,,,,,,,,,,,,,
110,7.785714285714286,,,,,,,,,2525370.663204018,,,,2285620.5113527924,,,,,,,,,,,,,,,,,,
111,7.857142857142857,,,,,,,,,2362737.1890105824,,,,2419362.487981118,,,,,,,,,,,,,,,,,,
112,7.928571428571428,,,,,,,,,2492491.583274765,,,,2491280.7309034294,,,,,,,,,,,,,,,,,,
113,8.0,,,,,,,,,2422923.030256309,,,,2308834.6977135404,,,,,,,,,,,,,,,,,,
114,8.071428571428571,,,2043219.6828502014,,,,,,2460723.3297923882,,,,2421599.6464560255,,,,,,,,,,,,,,,,,,
115,8.142857142857142,,,,,,,,,2412721.0346388277,,,,2526257.1629014034,,,,,,,,,,,,,,,,,,
116,8.214285714285714,,,,,,,,,2539296.209492596,,,,2443774.305011417,,,,,2506469.0688910293,,,,,,,,,,,,,
