Condition_mM,Track,Time,MidpointBendingAngle_deg,AutocorrPeakR,AutocorrPeriod_s,ZeroCrossings_10s,WindowAmplitude_deg,ThrashRate_Hz
21,0001_1,11.357142857142856,17.83950396658298,0.2141594791248509,0.5714285714284415,13,172.7177092570279,1.750000000000398
21,0001_1,11.428571428571429,17.83950396658298,0.20335852015257627,0.5714285714284415,14,172.7177092570279,1.750000000000398
21,0001_1,11.5,-34.40722875697372,0.20335852015257627,0.5714285714284415,14,172.7177092570279,1.750000000000398
21,0001_1,11.571428571428571,-49.52537101548476,0.1990396309372795,0.6428571428569967,14,172.7177092570279,0.0
21,0001_1,11.642857142857142,-64.6435132739958,0.20595514458591463,0.6428571428569967,15,172.7177092570279,1.5555555555559093
21,0001_1,11.714285714285714,,,,0,,
21,0001_1,11.785714285714285,,,,0,,
21,0001_1,11.857142857142856,,,,0,,
21,0001_1,11.928571428571429,-60.84144578228128,0.20384669133035435,0.6428571428569967,15,172.7177092570279,1.5555555555559093
21,0001_1,12.0,-60.84144578228128,0.18726167526808232,0.7142857142855519,15,172.7177092570279,0.0
21,0001_1,12.071428571428571,-28.803967718975656,0.1835708602590111,0.6428571428569967,15,172.7177092570279,0.0
21,0001_1,12.142857142857142,,,,0,,
21,0001_1,12.214285714285714,26.872224558958273,0.1897383622151286,0.6428571428569967,16,172.7177092570279,0.0
21,0001_1,12.285714285714285,26.872224558958273,0.19764266976874428,0.5714285714284415,16,172.7177092570279,0.0
21,0001_1,12.357142857142856,-26.46353325606232,0.20150887698489767,0.6428571428569967,16,172.7177092570279,1.5555555555559093
21,0001_1,12.428571428571429,-50.32515311209844,0.20428136619491857,0.6428571428569967,16,172.7177092570279,1.5555555555559093
21,0001_1,12.5,-74.18677296813456,0.2072402354412354,0.6428571428569967,17,172.7177092570279,1.5555555555559093
21,0001_1,12.571428571428571,,,,0,,
21,0001_1,12.642857142857142,,,,0,,
21,0001_1,12.714285714285714,,,,0,,
21,0001_1,12.785714285714285,-47.93021737898203,0.22208614757262216,0.5714285714284415,17,172.7177092570279,1.750000000000398
21,0001_1,12.857142857142856,-47.93021737898203,0.21988609071067797,0.5714285714284415,17,172.7177092570279,1.750000000000398
21,0001_1,12.928571428571429,-47.93021737898203,0.2204620050687554,0.5714285714284415,17,172.7177092570279,1.750000000000398
21,0001_1,13.0,,,,0,,
21,0001_1,13.071428571428571,,,,0,,
21,0001_1,13.142857142857142,98.53093628889334,0.1969912942243063,0.5714285714284415,18,172.7177092570279,0.0
21,0001_1,13.214285714285714,52.80777817709574,0.1969912942243063,0.5714285714284415,18,172.7177092570279,0.0
21,0001_1,13.285714285714285,7.084620065298134,0.1969912942243063,0.5714285714284415,18,172.7177092570279,0.0
21,0001_1,13.357142857142856,-31.129337167393704,0.1969912942243063,0.5714285714284415,18,172.7177092570279,0.0
21,0001_1,13.428571428571429,-69.34329440008554,0.1969912942243063,0.5714285714284415,18,172.7177092570279,0.0
21,0001_1,13.5,,,,0,,
21,0001_1,13.571428571428571,,,,0,,
21,0001_1,13.642857142857142,13.831067465739093,0.1969912942243063,0.5714285714284415,18,172.7177092570279,0.0
21,0001_1,13.714285714285714,-24.120462288153192,0.1991110009848706,0.7142857142855519,18,172.7177092570279,0.0
21,0001_1,13.785714285714285,-28.676585809756443,0.21475009375203608,0.7142857142855519,18,172.7177092570279,1.4000000000003183
21,0001_1,13.857142857142856,-28.676585809756443,0.21029165666775926,0.7142857142855519,18,172.7177092570279,1.4000000000003183
