Condition_mM,Track,Time_to_max_speed_loss_s,Min_normalized_speed_pct,Max_speed_loss_pct
450,0002_5,337.7142857142857,0.1337863808373077,99.86621361916269
450,0002_6,485.07142857142856,0.2352460575859889,99.76475394241402
450,0002_7,459.0,0.014890256703027478,99.98510974329697
450,0002_8,598.4285714285714,0.01494463861259451,99.98505536138741
450,0002_9,453.6428571428571,0.025944667088135632,99.97405533291186
450,0002_10,273.7857142857143,0.0017220885347356176,99.99827791146527
450,0003_1,505.9285714285714,0.0,100.0
450,0003_2,333.85714285714283,0.0,100.0
450,0003_3,328.07142857142856,0.0,100.0
450,0003_4,511.2857142857143,0.002289918718307043,99.9977100812817
450,0003_5,314.7857142857143,0.007593946432081314,99.99240605356792
450,0003_6,588.8571428571428,0.008236339412470761,99.99176366058752
450,0003_7,291.5,0.0020416650959127402,99.99795833490408
450,0003_8,403.57142857142856,0.026490006008547753,99.97350999399146
450,0003_9,466.1428571428571,0.06766365555193761,99.93233634444806
450,0003_10,569.5,0.0,100.0
550,0001_1,303.6428571428571,0.00707404347827932,99.99292595652172
550,0001_2,447.1428571428571,0.0074241795118223045,99.99257582048818
550,0001_3,300.1428571428571,0.049500582898228916,99.95049941710177
550,0001_4,402.57142857142856,0.005641594706990761,99.99435840529301
550,0001_5,547.5,0.009884873450673848,99.99011512654933
550,0001_6,206.92857142857144,0.0,100.0
550,0001_7,503.0,0.025447052970028812,99.97455294702998
550,0002_1,153.5,0.0,100.0
550,0002_2,363.9285714285714,0.002764079514170317,99.99723592048583
550,0002_3,349.2857142857143,0.0017354578102011615,99.9982645421898
550,0002_4,541.0,0.018921101242723823,99.98107889875727
550,0002_5,325.9285714285714,0.0024361196555356015,99.99756388034446
650,0001_1,462.71428571428567,0.005095663998360891,99.99490433600164
650,0001_2,433.57142857142856,0.06869349400480414,99.9313065059952
650,0001_3,457.57142857142856,0.0010211107438813235,99.99897888925612
650,0001_4,367.21428571428567,0.006651180701120058,99.99334881929887
650,0001_5,179.7142857142857,0.009300221577942875,99.99069977842206
650,0001_6,432.4285714285714,0.0,100.0
650,0001_7,521.7857142857142,0.009212073009420977,99.99078792699058
650,0001_8,254.07142857142856,0.003990175560885245,99.99600982443911
650,0002_1,142.5,0.007996140885495523,99.9920038591145
650,0002_2,514.0714285714286,0.005454760472037604,99.99454523952797
650,0002_3,467.57142857142856,0.00605200525844869,99.99394799474155
650,0002_4,459.71428571428567,0.0012525725221242436,99.99874742747788
650,0002_5,238.0,0.0036893426544315935,99.99631065734557
650,0002_6,550.2857142857142,0.005860542266714627,99.99413945773328
650,0003_1,265.9285714285714,0.0,100.0
650,0003_2,592.7142857142857,0.004643169941137294,99.99535683005887
650,0003_3,231.42857142857144,0.0,100.0
650,0003_4,543.3571428571428,0.0,100.0
650,0003_5,323.35714285714283,0.003226350081255752,99.99677364991875
650,0003_6,245.7142857142857,0.0,100.0
650,0003_7,175.28571428571428,0.1454874509471907,99.85451254905281
650,0003_8,299.6428571428571,0.0,100.0
650,0004_1,207.35714285714283,0.0,100.0
650,0004_2,218.07142857142856,0.0,100.0
650,0004_3,210.2142857142857,0.0,100.0
650,0004_4,148.57142857142856,0.0,100.0
650,0004_5,510.1428571428571,0.0,100.0
650,0004_6,534.5,0.003433447821724203,99.99656655217828
650,0004_7,391.5,0.0,100.0
650,0004_8,152.92857142857142,0.0,100.0
650,0005_1,155.5,0.0,100.0
650,0005_2,238.0,0.0,100.0
650,0005_3,363.8571428571428,0.0,100.0
650,0005_4,192.2142857142857,0.0,100.0
650,0005_5,417.5,0.002402343661987808,99.99759765633802
650,0005_6,283.85714285714283,0.0,100.0
650,0006_1,259.1428571428571,0.0,100.0
650,0006_2,299.85714285714283,0.0,100.0
650,0006_3,138.85714285714286,0.0,100.0
650,0006_4,562.1428571428571,0.002816771419099635,99.9971832285809
650,0006_5,393.7857142857143,0.004321991697107052,99.99567800830289
650,0006_6,476.9285714285714,0.0,100.0
650,0006_7,2.142857142857143,5.04454686116287,94.95545313883713
650,0006_8,559.0714285714286,0.00880468482636221,99.99119531517364
650,0007_1,477.71428571428567,0.0,100.0
650,0007_2,301.35714285714283,0.004458692970108006,99.9955413070299
650,0007_3,448.7857142857143,0.0031077806312353367,99.99689221936876
650,0007_4,363.1428571428571,0.0,100.0
650,0007_5,333.6428571428571,0.0015868697870655866,99.99841313021294
650,0007_6,242.42857142857144,0.0034803966802432248,99.99651960331975
650,0007_7,419.6428571428571,0.0072779500075670885,99.99272204999244
650,0007_8,227.0,0.0,100.0
650,0007_9,388.0,0.0,100.0
750,0001_1,342.2857142857143,0.0,100.0
