Frame,Time,0001_1,0001_2,0001_3,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0004_1,0004_2,0004_3,0004_4,0005_1,0005_2,0005_3,0006_1,0006_2,0006_3
55,3.8571428571428568,2399543.0114188096,2783738.792134869,2429058.1517201834,2120838.904988006,2419210.4879870946,2648303.0871415255,2528200.7732897927,2542925.8304598043,2218158.8024154645,3027405.9907811475,3202825.6840685597,,3078058.239268801,3081678.5290452032,2911184.280453215,,2525152.147326364,,2247237.1267332025
56,3.928571428571429,,3105977.043410235,,2143528.532906446,2457166.8535521934,2443811.8159094127,2595847.8994529257,2672705.1692214333,2512149.18719527,2849820.409327833,3325229.919274791,,3254369.696133133,3067613.588581631,2965219.146122669,,2496072.291957624,2494096.224682019,2391970.099701032
57,4.0,,,2480155.046016737,2387545.4347241577,2286382.1689503714,2277927.9235897125,2444253.348960731,2703498.7503040405,2502039.6101984326,2909994.166537585,3187188.8829978844,,3074377.6522869677,3196877.865687939,2869155.2589849425,,2458134.0977733885,2518814.9715723908,2502922.303144443
58,4.071428571428571,2466685.0904892357,2916694.3750353726,,2253850.5411083335,2282472.293843959,,2369612.5323862266,2737208.251643779,2359610.967299634,2953233.5020424053,3312045.3810264613,3150621.5631812126,3265015.440904191,3063655.295508609,2919133.319010278,2873438.3950552475,2489417.5311693656,2268935.420536572,2221709.5869689095
59,4.142857142857142,2333072.6659991355,2751665.7480409374,,2066437.623001008,2320125.416670567,2139516.43624497,2551924.0434806724,2547228.9534612987,2254671.870602364,2874049.872659139,3276393.8054102664,3089973.5523495385,3158153.452805762,3236242.3891055835,3077982.9072673707,2853166.6247735354,2546128.280449765,2437602.9730744353,2358476.854908389
60,4.214285714285714,2429501.7776551116,3281506.7607965805,2454730.6759488904,2287687.6715355865,2261758.783276743,2033133.0587438962,2402704.686435316,2505599.888030822,2146873.099413005,2805809.28252083,3161773.828910471,2864690.836850346,3370943.590457686,3341645.8952035205,2638505.6068067336,,2530343.3853757675,2254826.658150056,2797847.360839049
61,4.285714285714286,2191514.1318107443,2950627.393757918,2400239.4873262737,2242340.3995335903,2243490.1511895633,,2339997.448908025,2314165.8067037705,2401041.6177760665,2836696.014925508,3146284.3231793283,3034709.808116005,,3299870.230091993,2898605.396452956,,2598503.252445574,2429481.0301674777,2318724.220295247
62,4.357142857142857,,3036247.3299323893,,2190010.708562824,2363782.9780594315,,2448541.7980517014,2813461.3100925996,2386931.263525287,2862433.5255897343,3137319.7330803094,3354066.388762587,,3137999.151199633,2816051.2598564406,2860595.370055204,2263128.772235784,2242702.122029281,2592201.860137356
63,4.428571428571428,,3100247.1436980697,,2466812.943216519,2519483.329500734,2346969.7262099413,2431673.7313871174,2515026.5245927535,2328634.7864905857,2762480.664112122,3151644.95439372,3160609.9226721693,,3031818.0487584984,2613756.4263212956,,2417606.8595332755,2318163.9181195498,2850751.143584982
64,4.5,,,2453111.5886855945,2298362.9109672066,2401173.028695623,1925133.7849853665,2650128.086389014,2592187.8809340033,2437212.1475968263,2807311.324180867,3267504.8043494443,3027246.1690799133,,3008310.5830087,2901132.666735648,,2617837.136364798,2270496.6933300104,2203774.0205874695
65,4.571428571428571,,2874631.2042882503,,2297453.206233753,2316339.822417025,1728275.8475075355,2565988.5648422837,2693292.6549821454,2268950.6864899048,2878349.792308989,3168428.56604028,3065822.5369740073,,3175069.910204029,2745817.7556055347,2731914.5587746925,2451074.270172229,2536160.522642382,2194807.3666974013
66,4.642857142857142,,,,2160488.5377246155,2244596.936616119,1884916.4665425566,2664842.8156274264,2459124.144513182,2643515.272586681,2998837.8867553505,3229210.750570701,3125292.5428201016,,3147087.095837043,2695384.9891849654,2954187.016885445,2626802.935903072,2651075.2450226075,2130128.6938637868
67,4.714285714285714,,3099962.407772658,2387209.0976962624,2144020.0582677745,2272259.334107098,2638128.1695966087,2379272.0342817777,2370972.5713778157,2510492.1081016366,2903546.0334310243,3167163.1917724125,2967936.1893737824,,3374812.5291746627,2866098.1845645094,,2604935.9573815684,2549092.8083203286,2185393.052497713
68,4.785714285714286,,3003306.329844015,2440670.3899870617,2142259.5910674073,2327462.49618535,2449169.6534693874,2481858.394812466,2355172.5543969176,,2829071.7893574364,3109729.0864248998,3005502.5018587145,,3335298.3062513405,2944577.1610370064,,2649851.9934768253,2606949.460180344,2742044.610113526
