Frame,Time,0001_1,0001_2,0001_3,0001_4,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0004_1,0004_2,0005_1,0005_2,0005_3,0006_1,0006_2,0006_3,0007_1,0007_2,0007_3
23,1.5714285714285714,,2951836.381956268,,,2563573.4034347697,2162419.813967941,2579562.047496485,2402502.668999205,2693773.7989011677,2223758.1809822037,2264886.9999473263,2706950.478545751,3102359.642584907,2809598.52883764,3047540.327536985,2393778.8494466064,2661254.9927227055,3123775.547476661,3163653.972394035,2846290.9330320125,3414128.9602344604
24,1.6428571428571428,,2766739.5863880604,,,2338340.2593656653,2309836.755824879,2487565.0994350137,2457672.53376422,2652082.8711604443,2325757.8897297424,2315833.9609331847,2575049.1330607664,3328934.712516861,2882616.622685732,2895157.110665862,2520109.176792856,2707747.745549601,2608024.641928821,3531676.9210361494,2995328.203863877,3600508.519937686
25,1.7142857142857142,,2776571.001130867,2360043.8904804443,,2350158.495485043,2322250.681784514,2546545.2212632173,2463886.8182909116,2754873.335193551,2577732.1794704692,2310362.470576419,2752720.5152218207,3313720.71360571,3004197.214288295,3072736.7050264734,2651815.817130051,2665271.2293497054,2482005.8205481335,3421647.42883943,2790296.494872074,3651368.004219729
26,1.7857142857142856,,2863215.6288355193,,,2220321.737180674,2504610.5878755655,1905553.6903247247,2366499.789429414,2550414.835996243,2266235.356317113,2362105.7858001585,2681718.0499626817,3033492.74706845,2908377.949388895,,2471754.1336471937,2439385.3516064854,2592320.462133157,3715837.8359048804,2832524.5636226586,3465055.956183538
27,1.857142857142857,,2838450.613626134,,,2397241.7579395087,2296826.2742273486,1971813.6652703027,2473582.4085585685,2738689.206928162,2163084.090904231,2189380.2863081717,2726470.0404009796,3054668.089822292,2702461.0009493213,,2504381.2895902176,2302921.6752660326,2974331.5826676264,3317359.1467323964,2859184.933092641,
28,1.9285714285714284,,2800145.660269691,2483201.1643158435,,2141177.450580174,2350239.175894153,1965369.4356217738,2750234.6548660845,2622226.3485258766,2191742.0702313175,2171647.900652926,2873367.3418651964,3227209.2807365665,2847640.435785647,,2455402.4855601797,2443075.6947434624,2831986.8603566503,3432186.673899038,,3240489.5851873113
29,2.0,,2928748.885591351,2317366.4690092313,,,2457697.590264851,,2267405.361185334,2880016.572725493,,2331157.58057324,2604771.7261909614,3288929.0519490708,2801772.9888374708,,2374461.1268471405,2536630.4512356105,2603118.7175735245,3372875.77815709,,3743906.0349673014
30,2.071428571428571,,2839299.36166304,2440960.8079653275,,2195268.4843785176,2304829.666109813,2332992.9303812105,2318844.7532484205,2722449.1730223643,2261267.929152637,2509679.8888491294,2592969.360928207,3110907.1045833454,2814123.378474628,,2235166.3798547243,2711468.375395998,2750349.0878041973,3523499.8370694295,,3376358.2476280183
31,2.142857142857143,,2823952.458150668,2415513.282982981,,2133713.660023162,2302284.123902498,2321031.8980567483,2513944.4624879677,2913520.8930403986,2181234.268839229,2360100.1526597943,2843434.494713584,3289747.110352888,2892247.880254901,3287404.48179929,2424352.0516511323,2464111.2259857072,2854614.4782919404,3597646.3451005225,2942814.065916211,3688676.4998150473
32,2.214285714285714,,3078847.4991252106,2342682.283123425,,2319720.90629887,2378433.7778455806,2203192.36672012,2243194.597238812,2759225.8300386663,2345256.151859381,2312679.9859758797,2742104.0708657377,3102735.960789392,2776603.707421927,2953294.59925092,2602311.32413498,2486093.1596696144,2616934.6016756766,3732205.5944176824,3070935.9546758216,3207693.863526803
33,2.2857142857142856,,2822039.4387186635,,,2100100.0185786397,2274936.34112633,1971675.9467419032,2181042.985632761,2402122.894118964,2212979.7120348895,2335305.3815704924,2772331.8841255936,3003883.441210276,2871970.218679356,,2708504.002685707,2538778.078127012,2704283.135562906,3202732.896206458,2980642.779070114,3354516.116403626
34,2.357142857142857,,,2470908.4825928034,,2131792.813648143,2244328.600282911,1923671.6725720798,2384025.567400402,2706703.335308144,2280889.852027859,2266665.1291492567,2795700.4425795414,3227595.1602529045,2958324.8683123905,,2403759.7169664083,2571440.870627859,2761721.291545343,3293088.0244122236,,3252437.880043884
35,2.4285714285714284,,,2517799.7219555452,,2182390.904224373,2362589.0460422947,,2263894.1081019365,2654285.2695065183,2282802.841036113,2453175.76100739,2511181.309855498,3065343.4205300426,2903483.619630566,,2402437.5896538505,2558303.605848828,2535419.0619278047,3732304.075548493,2930378.813274025,3577684.729170209
