Condition_mM,Track,Modality,DynamicRangePct,OnsetTime_s
1050,0003_7,Speed,98.40793485124556,44.07142857142857
1050,0003_8,Speed,98.92091978124651,40.35714285714285
1050,0003_9,Speed,99.21195163020874,20.5
1050,0004_1,Speed,98.7050805264391,17.428571428571427
1050,0004_2,Speed,99.16780635638614,61.64285714285714
1050,0004_3,Speed,98.45305059062159,17.57142857142857
1050,0004_4,Speed,99.52937907916082,50.35714285714285
1050,0004_5,Speed,99.35859626775874,31.21428571428571
1050,0004_6,Speed,99.40655628194533,19.928571428571427
1050,0004_7,Speed,99.46247458014344,29.71428571428571
1050,0004_8,Speed,99.15141886544306,35.14285714285714
150,0001_1,Speed,76.31792142203409,260.57142857142856
150,0001_2,Speed,41.488642047767755,115.57142857142856
150,0001_3,Speed,30.657282949273082,196.0
150,0001_4,Speed,13.891027566671283,42.42857142857142
150,0002_2,Speed,12.174260687924459,3.714285714285714
150,0004_2,Speed,83.82255239981521,52.92857142857142
150,0004_3,Speed,36.268113362106206,77.0
150,0006_1,Speed,64.08659326673153,20.857142857142858
21,0001_4,Speed,48.545807996403624,80.64285714285714
21,0002_2,Speed,57.31144787958446,13.5
21,0004_2,Speed,32.17074775483117,1.0
21,0006_1,Speed,57.30626347592518,31.785714285714285
21,0006_2,Speed,96.90940477909986,22.285714285714285
21,0006_3,Speed,32.848835413934324,18.21428571428571
21,0007_1,Speed,10.643657921732498,1.0
250,0001_1,Speed,73.04477663920282,61.285714285714285
250,0001_2,Speed,55.59277820442356,7.142857142857142
250,0001_3,Speed,7.176870623772473,10.214285714285714
250,0002_1,Speed,56.071905205943665,65.07142857142857
250,0002_3,Speed,38.70744849808716,1.2142857142857142
250,0003_2,Speed,54.437467947816636,1.0
250,0003_4,Speed,26.115816590708704,114.71428571428572
250,0004_1,Speed,43.269768607730285,5.142857142857142
250,0004_3,Speed,51.96980228384577,134.07142857142856
250,0004_4,Speed,79.66947473820811,58.71428571428571
250,0005_2,Speed,50.88708646415793,147.78571428571428
250,0005_3,Speed,5.237477413242829,59.14285714285714
350,0001_1,Speed,95.39115806635432,114.21428571428572
350,0001_2,Speed,95.24313541799647,73.92857142857143
350,0001_3,Speed,84.71495440724757,84.14285714285714
350,0001_4,Speed,92.51981998594464,21.428571428571427
350,0001_5,Speed,98.78567561779103,31.85714285714285
350,0002_1,Speed,99.1323811685346,75.07142857142857
350,0002_2,Speed,91.74362069960475,79.71428571428571
350,0002_3,Speed,98.95296688317438,132.85714285714286
350,0003_1,Speed,48.114056044322446,12.642857142857142
350,0003_2,Speed,92.7326439708527,70.92857142857143
350,0003_3,Speed,76.94978986489227,8.357142857142856
350,0003_5,Speed,98.46540454021107,145.7142857142857
350,0004_1,Speed,64.84836463004977,41.07142857142857
350,0004_2,Speed,91.39455927914968,46.35714285714285
350,0004_3,Speed,99.66073123710991,64.78571428571428
350,0004_4,Speed,84.41551420117246,77.92857142857143
350,0004_5,Speed,55.76056325871384,138.42857142857142
450,0001_1,Speed,98.65214896678279,30.71428571428571
450,0001_2,Speed,95.43566707054772,83.78571428571428
450,0001_3,Speed,59.8000621827312,23.85714285714285
450,0001_4,Speed,96.4516935317479,109.85714285714285
450,0001_5,Speed,96.73189141253619,10.428571428571429
450,0001_6,Speed,51.448437124458536,1.5
450,0001_7,Speed,51.43683119984918,29.785714285714285
450,0001_8,Speed,98.48360018800008,200.42857142857144
450,0001_9,Speed,85.65435817474776,45.0
450,0001_10,Speed,79.58632171522022,3.571428571428571
450,0002_1,Speed,98.83512390022152,94.5
450,0002_2,Speed,96.05994054528348,59.14285714285714
450,0002_3,Speed,35.172370613443476,2.214285714285714
450,0002_4,Speed,99.27247783983763,14.357142857142856
450,0002_5,Speed,84.68714640989374,1.0
450,0002_6,Speed,48.44638923421057,30.35714285714285
450,0002_7,Speed,98.28752346926291,71.28571428571428
450,0002_8,Speed,99.32060349165197,38.285714285714285
450,0002_9,Speed,98.58675265867554,55.85714285714285
450,0002_10,Speed,98.02271009766366,80.71428571428571
450,0003_1,Speed,99.2308566479548,90.35714285714285
450,0003_2,Speed,97.84369613224563,32.07142857142857
450,0003_3,Speed,99.16950311322397,60.21428571428571
450,0003_4,Speed,99.71945384199958,30.785714285714285
450,0003_5,Speed,99.31283334215368,24.35714285714285
450,0003_6,Speed,98.9093402775606,59.785714285714285
450,0003_7,Speed,99.12832577945153,27.07142857142857
450,0003_8,Speed,98.67025893340268,59.71428571428571
450,0003_9,Speed,89.78061148120707,9.357142857142856
450,0003_10,Speed,99.30297247752758,216.85714285714283
550,0001_1,Speed,95.25583642607025,79.07142857142857
550,0001_2,Speed,95.5102305374019,3.214285714285714
550,0001_3,Speed,95.11865512718546,18.642857142857142
550,0001_4,Speed,99.71826313157115,23.428571428571427
550,0001_5,Speed,98.95267406053813,42.5
550,0001_7,Speed,99.22843334482526,160.5
550,0002_1,Speed,99.65631575138927,25.71428571428571
550,0002_2,Speed,99.50964025663419,99.85714285714285
550,0002_3,Speed,93.19882974724572,32.64285714285714
