Condition_mM,Track,VolumeLossTime_s,MotilityLossTime_s,ThrashingLossTime_s,MotilityMinusVolume_s,ThrashingMinusVolume_s,ThrashingMinusMotility_s
250,0003_2,0.3571428571428571,308.85714285714283,10.428571428571429,308.5,10.071428571428571,-298.4285714285714
250,0003_3,0.1428571428571428,333.85714285714283,8.928571428571429,333.71428571428567,8.785714285714286,-324.9285714285714
250,0003_4,0.0714285714285714,,179.14285714285714,,179.07142857142856,
250,0004_1,1.1428571428571428,425.9285714285714,50.785714285714285,424.7857142857142,49.64285714285714,-375.1428571428571
250,0004_2,0.0714285714285714,,0.0,,-0.0714285714285714,
250,0004_3,1.6428571428571428,512.3571428571428,94.28571428571428,510.7142857142856,92.64285714285714,-418.0714285714285
250,0004_4,2.214285714285714,547.0714285714286,0.5714285714285714,544.8571428571429,-1.6428571428571426,-546.5
250,0005_1,0.0714285714285714,,10.214285714285714,,10.142857142857142,
250,0005_2,57.5,465.3571428571428,37.92857142857142,407.8571428571428,-19.571428571428577,-427.42857142857133
250,0005_3,8.785714285714285,,39.14285714285714,,30.357142857142854,
250,0005_4,,,31.142857142857142,,,
350,0001_1,6.428571428571428,144.92857142857142,21.785714285714285,138.5,15.357142857142858,-123.14285714285714
350,0001_2,68.71428571428571,130.0,3.571428571428571,61.28571428571429,-65.14285714285714,-126.42857142857143
350,0001_3,0.7142857142857142,368.07142857142856,368.6428571428571,367.35714285714283,367.9285714285714,0.5714285714285552
350,0001_4,64.42857142857143,198.2142857142857,118.64285714285714,133.78571428571428,54.21428571428571,-79.57142857142856
350,0001_5,47.0,60.42857142857142,30.0,13.428571428571423,-17.0,-30.428571428571423
350,0002_1,48.285714285714285,328.7142857142857,117.64285714285714,280.42857142857144,69.35714285714286,-211.07142857142858
350,0002_2,12.714285714285714,212.07142857142856,5.071428571428571,199.35714285714283,-7.642857142857142,-206.99999999999997
350,0002_3,3.714285714285714,150.5,28.142857142857142,146.78571428571428,24.428571428571427,-122.35714285714286
350,0003_1,1.1428571428571428,158.42857142857142,153.5,157.28571428571428,152.35714285714286,-4.928571428571416
350,0003_2,57.64285714285714,201.5,179.28571428571428,143.85714285714286,121.64285714285714,-22.214285714285722
350,0003_3,,583.2142857142857,29.285714285714285,,,-553.9285714285713
350,0003_4,,279.07142857142856,129.07142857142856,,,-150.0
350,0003_5,139.57142857142856,200.78571428571428,125.14285714285714,61.21428571428572,-14.428571428571416,-75.64285714285714
350,0004_1,0.7857142857142857,117.5,45.57142857142857,116.71428571428571,44.785714285714285,-71.92857142857143
350,0004_2,28.642857142857142,134.28571428571428,111.64285714285714,105.64285714285714,83.0,-22.64285714285714
350,0004_3,47.71428571428571,133.78571428571428,105.21428571428572,86.07142857142857,57.500000000000014,-28.571428571428555
350,0004_4,0.1428571428571428,142.2142857142857,106.14285714285714,142.07142857142856,106.0,-36.071428571428555
350,0004_5,44.57142857142857,294.4285714285714,207.1428571428572,249.85714285714283,162.5714285714286,-87.28571428571419
450,0001_1,0.8571428571428571,139.78571428571428,39.92857142857142,138.92857142857142,39.07142857142857,-99.85714285714286
450,0001_10,5.0,79.64285714285714,29.07142857142857,74.64285714285714,24.07142857142857,-50.57142857142857
450,0001_2,11.142857142857142,199.07142857142856,28.07142857142857,187.92857142857142,16.928571428571427,-171.0
450,0001_3,0.7857142857142857,310.4285714285714,34.92857142857142,309.6428571428571,34.14285714285714,-275.49999999999994
450,0001_4,17.285714285714285,287.85714285714283,169.92857142857142,270.57142857142856,152.64285714285714,-117.92857142857142
450,0001_5,8.428571428571429,270.7857142857143,8.428571428571429,262.35714285714283,0.0,-262.35714285714283
450,0001_6,2.714285714285714,69.28571428571428,15.5,66.57142857142857,12.785714285714286,-53.78571428571428
450,0001_7,2.142857142857143,448.5,113.5,446.35714285714283,111.35714285714286,-335.0
450,0001_8,0.1428571428571428,259.85714285714283,260.7857142857143,259.71428571428567,260.6428571428571,0.9285714285714448
450,0001_9,11.642857142857142,135.64285714285714,48.21428571428571,124.0,36.57142857142857,-87.42857142857143
450,0002_1,18.21428571428571,176.85714285714286,93.57142857142856,158.64285714285714,75.35714285714285,-83.2857142857143
450,0002_10,63.14285714285714,148.7142857142857,76.42857142857143,85.57142857142856,13.285714285714292,-72.28571428571426
450,0002_2,6.5,202.2142857142857,50.42857142857142,195.7142857142857,43.92857142857142,-151.78571428571428
450,0002_3,2.071428571428571,150.64285714285714,39.0,148.57142857142856,36.92857142857143,-111.64285714285714
450,0002_4,77.85714285714285,98.92857142857142,86.78571428571428,21.07142857142857,8.92857142857143,-12.142857142857139
450,0002_5,15.5,282.07142857142856,114.21428571428572,266.57142857142856,98.71428571428572,-167.85714285714283
450,0002_6,2.714285714285714,293.2857142857143,131.64285714285714,290.57142857142856,128.92857142857142,-161.64285714285714
450,0002_7,1.4285714285714284,157.92857142857142,15.642857142857142,156.5,14.214285714285714,-142.28571428571428
450,0002_8,0.7142857142857142,94.0,58.71428571428571,93.28571428571429,57.99999999999999,-35.28571428571429
450,0002_9,17.142857142857142,146.42857142857142,113.57142857142856,129.28571428571428,96.42857142857142,-32.85714285714286
450,0003_1,52.35714285714285,155.07142857142856,0.0,102.71428571428571,-52.35714285714285,-155.07142857142856
450,0003_10,129.5,235.78571428571428,180.78571428571428,106.28571428571428,51.28571428571428,-55.0
450,0003_2,23.785714285714285,119.85714285714285,64.42857142857143,96.07142857142856,40.642857142857146,-55.428571428571416
450,0003_3,57.785714285714285,152.7142857142857,111.28571428571428,94.92857142857142,53.49999999999999,-41.428571428571416
450,0003_4,6.5,153.85714285714286,88.57142857142857,147.35714285714286,82.07142857142857,-65.28571428571429
450,0003_5,5.642857142857142,115.92857142857142,107.0,110.28571428571428,101.35714285714286,-8.928571428571416
450,0003_6,15.428571428571429,124.5,97.0,109.07142857142857,81.57142857142857,-27.5
450,0003_7,38.07142857142857,124.0,118.78571428571428,85.92857142857143,80.71428571428571,-5.214285714285722
450,0003_8,44.92857142857142,134.57142857142856,4.071428571428571,89.64285714285714,-40.857142857142854,-130.49999999999997
450,0003_9,4.714285714285714,156.2142857142857,146.7142857142857,151.49999999999997,141.99999999999997,-9.5
550,0001_1,21.21428571428571,145.57142857142856,60.64285714285714,124.35714285714285,39.42857142857143,-84.92857142857142
550,0001_2,22.785714285714285,145.64285714285714,60.285714285714285,122.85714285714286,37.5,-85.35714285714286
550,0001_3,15.785714285714285,138.0,29.142857142857142,122.21428571428572,13.357142857142858,-108.85714285714286
550,0001_4,1.5714285714285714,89.0,5.142857142857142,87.42857142857143,3.571428571428571,-83.85714285714286
550,0001_5,,64.71428571428571,5.214285714285714,,,-59.49999999999999
550,0001_6,18.285714285714285,57.14285714285714,46.5,38.857142857142854,28.214285714285715,-10.642857142857139
550,0001_7,34.857142857142854,215.92857142857144,220.1428571428572,181.07142857142858,185.28571428571433,4.214285714285751
550,0002_1,12.5,118.21428571428572,50.785714285714285,105.71428571428572,38.285714285714285,-67.42857142857144
550,0002_10,6.857142857142857,92.07142857142856,48.785714285714285,85.2142857142857,41.92857142857143,-43.28571428571427
550,0002_2,21.5,54.21428571428571,70.0,32.71428571428571,48.5,15.785714285714292
550,0002_3,36.21428571428572,195.78571428571428,174.78571428571428,159.57142857142856,138.57142857142856,-21.0
550,0002_4,24.785714285714285,140.35714285714286,47.92857142857142,115.57142857142858,23.14285714285714,-92.42857142857144
550,0002_5,30.142857142857142,148.42857142857142,50.5,118.28571428571428,20.357142857142858,-97.92857142857142
550,0002_6,53.35714285714285,138.78571428571428,4.214285714285714,85.42857142857143,-49.14285714285713,-134.57142857142856
550,0002_7,3.2857142857142856,192.57142857142856,88.78571428571428,189.28571428571428,85.49999999999999,-103.78571428571428
550,0002_8,413.7857142857143,50.71428571428571,14.571428571428571,-363.07142857142856,-399.2142857142857,-36.14285714285714
550,0002_9,18.428571428571427,14.428571428571429,224.92857142857144,-3.9999999999999982,206.50000000000003,210.50000000000003
650,0001_1,12.357142857142856,69.35714285714285,157.2142857142857,56.99999999999999,144.85714285714283,87.85714285714285
650,0001_2,0.0,166.07142857142856,61.5,166.07142857142856,61.5,-104.57142857142856
650,0001_3,51.42857142857142,83.14285714285714,65.71428571428571,31.714285714285715,14.285714285714285,-17.42857142857143
650,0001_4,8.428571428571429,83.07142857142857,33.714285714285715,74.64285714285714,25.285714285714285,-49.357142857142854
650,0001_5,88.5,56.14285714285714,57.92857142857142,-32.35714285714286,-30.571428571428577,1.7857142857142847
650,0001_6,4.428571428571428,81.28571428571428,22.928571428571427,76.85714285714285,18.5,-58.35714285714285
650,0001_7,16.21428571428571,82.92857142857143,71.92857142857143,66.71428571428572,55.71428571428572,-11.0
650,0001_8,8.428571428571429,77.71428571428571,19.785714285714285,69.28571428571428,11.357142857142856,-57.92857142857142
650,0002_1,91.57142857142856,81.5,70.64285714285714,-10.071428571428555,-20.928571428571416,-10.857142857142861
650,0002_2,2.571428571428571,119.64285714285714,90.64285714285714,117.07142857142857,88.07142857142857,-29.0
650,0002_3,27.0,53.64285714285714,45.42857142857142,26.64285714285714,18.428571428571423,-8.214285714285715
650,0002_4,82.57142857142857,153.14285714285714,140.78571428571428,70.57142857142857,58.21428571428571,-12.357142857142861
650,0002_5,54.42857142857142,189.14285714285717,9.857142857142856,134.71428571428575,-44.57142857142857,-179.2857142857143
650,0002_6,33.285714285714285,97.85714285714285,85.42857142857143,64.57142857142856,52.142857142857146,-12.428571428571416
650,0003_1,124.85714285714285,61.5,60.14285714285714,-63.35714285714285,-64.71428571428571,-1.3571428571428612
650,0003_2,22.928571428571427,108.57142857142856,38.92857142857142,85.64285714285712,15.999999999999996,-69.64285714285714
650,0003_3,2.2857142857142856,126.14285714285714,122.14285714285714,123.85714285714285,119.85714285714285,-4.0
650,0003_4,2.2857142857142856,181.0,32.714285714285715,178.71428571428572,30.42857142857143,-148.28571428571428
650,0003_5,43.85714285714285,145.0,34.357142857142854,101.14285714285715,-9.499999999999993,-110.64285714285714
650,0003_6,34.5,115.71428571428572,113.92857142857142,81.21428571428572,79.42857142857142,-1.785714285714306
650,0003_7,,100.35714285714285,63.14285714285714,,,-37.21428571428571
650,0003_8,33.785714285714285,96.28571428571428,101.07142857142856,62.49999999999999,67.28571428571428,4.785714285714278
650,0004_1,30.928571428571427,83.85714285714285,74.35714285714285,52.928571428571416,43.428571428571416,-9.5
650,0004_2,16.71428571428571,62.57142857142857,50.57142857142857,45.85714285714286,33.85714285714286,-12.0
650,0004_3,1.5714285714285714,91.21428571428572,73.28571428571428,89.64285714285715,71.71428571428571,-17.928571428571445
650,0004_4,18.285714285714285,94.5,79.78571428571428,76.21428571428572,61.49999999999999,-14.714285714285722
650,0004_5,23.71428571428571,76.0,64.35714285714285,52.28571428571429,40.64285714285714,-11.642857142857153
650,0004_6,5.7142857142857135,95.0,21.142857142857142,89.28571428571429,15.428571428571429,-73.85714285714286
650,0004_7,0.4285714285714285,79.42857142857143,75.42857142857143,79.0,75.0,-4.0
650,0004_8,81.71428571428571,83.57142857142857,61.285714285714285,1.8571428571428612,-20.428571428571423,-22.285714285714285
650,0005_1,30.21428571428571,80.14285714285714,60.07142857142857,49.92857142857143,29.857142857142858,-20.07142857142857
650,0005_2,3.2857142857142856,76.71428571428571,61.0,73.42857142857142,57.714285714285715,-15.714285714285708
650,0005_3,1.4285714285714284,75.28571428571428,49.14285714285714,73.85714285714285,47.71428571428571,-26.14285714285714
650,0005_4,29.142857142857142,100.14285714285714,90.21428571428572,71.0,61.071428571428584,-9.928571428571416
650,0005_5,0.0714285714285714,70.07142857142857,90.85714285714285,70.0,90.78571428571428,20.785714285714278
650,0005_6,134.2142857142857,79.07142857142857,83.5,-55.142857142857125,-50.714285714285694,4.428571428571431
650,0006_1,37.285714285714285,61.35714285714285,64.35714285714285,24.071428571428562,27.071428571428562,3.0
650,0006_2,31.07142857142857,136.35714285714286,67.71428571428571,105.28571428571429,36.64285714285714,-68.64285714285715
650,0006_3,117.07142857142856,67.14285714285714,50.42857142857142,-49.928571428571416,-66.64285714285714,-16.714285714285715
650,0006_4,116.64285714285714,96.14285714285714,44.64285714285714,-20.5,-72.0,-51.5
650,0006_5,4.571428571428571,142.14285714285714,84.21428571428571,137.57142857142856,79.64285714285714,-57.92857142857143
650,0006_6,56.0,98.57142857142856,54.71428571428571,42.571428571428555,-1.2857142857142918,-43.85714285714285
650,0006_7,,,,,,
650,0006_8,1.2857142857142856,125.35714285714285,81.57142857142857,124.07142857142856,80.28571428571428,-43.78571428571428
650,0007_1,7.785714285714286,134.92857142857142,105.28571428571428,127.14285714285712,97.49999999999999,-29.64285714285714
650,0007_2,31.71428571428571,110.64285714285714,82.28571428571428,78.92857142857143,50.57142857142857,-28.35714285714286
650,0007_3,30.428571428571427,156.57142857142856,41.64285714285714,126.14285714285712,11.214285714285712,-114.92857142857142
650,0007_4,18.07142857142857,219.2142857142857,174.57142857142856,201.1428571428571,156.5,-44.64285714285714
650,0007_5,16.785714285714285,160.7142857142857,105.78571428571428,143.92857142857142,89.0,-54.928571428571416
650,0007_6,61.92857142857142,128.35714285714286,111.92857142857142,66.42857142857144,49.99999999999999,-16.428571428571445
650,0007_7,29.428571428571427,142.85714285714286,97.42857142857142,113.42857142857143,67.99999999999999,-45.428571428571445
650,0007_8,17.57142857142857,122.92857142857142,110.57142857142856,105.35714285714285,92.99999999999999,-12.357142857142861
650,0007_9,11.714285714285714,179.2142857142857,97.5,167.49999999999997,85.78571428571429,-81.7142857142857
750,0001_1,18.5,72.5,66.64285714285714,54.0,48.14285714285714,-5.857142857142861
750,0001_2,,115.21428571428572,99.07142857142856,,,-16.142857142857167
750,0001_3,4.142857142857142,82.5,7.5,78.35714285714286,3.3571428571428577,-75.0
750,0001_4,0.0,110.78571428571428,19.357142857142858,110.78571428571428,19.357142857142858,-91.42857142857142
750,0001_5,3.4285714285714284,49.0,59.85714285714285,45.57142857142857,56.428571428571416,10.857142857142847
750,0001_6,50.64285714285714,57.35714285714285,74.28571428571428,6.714285714285708,23.64285714285714,16.92857142857143
750,0002_1,52.71428571428571,48.14285714285714,49.14285714285714,-4.571428571428569,-3.5714285714285694,1.0
750,0002_2,,52.21428571428571,43.14285714285714,,,-9.07142857142857
750,0002_3,32.42857142857142,95.85714285714285,90.71428571428572,63.42857142857142,58.2857142857143,-5.142857142857125
