Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0001_6,0002_1,0002_2,0002_3,0002_4,0003_1,0003_10,0003_2,0003_3,0003_4,0003_5,0003_6,0003_7,0003_8,0003_9,0004_1,0004_10,0004_2,0004_3,0004_4,0004_5,0004_6,0004_7,0004_8,0004_9
66,4.642857142857142,,,,,1395010.8920859243,,,,,,,,,,,,,2720414.1393668563,,,,,,,,,,,,2512525.057824584
67,4.714285714285714,,,,,,,,,,,,,,,,,2403470.883609807,2780770.3517114553,,,,,,,,,,,,2434262.8999612103
68,4.785714285714286,,,,,,,,,,,,,,,,,,2763402.780458498,,,,,,,,,,,,
69,4.857142857142857,,,,,1317367.600374635,,,,,,,,,,,,,,,,,,,,,,,,,2444247.42356658
70,4.928571428571428,,,,,1407265.0368959252,,,,,,,,,,,,,2740537.495918309,,,,,,,,,,,,2519446.8131342684
71,5.0,,,,,1326765.0673367747,,,,,,,,,,,,,2745489.7120890515,,,,,,,,,,,,
72,5.071428571428571,,,2196531.77370639,,1417684.7636773246,,,,,,,,,,,,,2632596.1682372745,,,,,,,,,,,,2495300.8626988656
73,5.142857142857142,,,,,1336348.1474440445,,,,,,,,,,,,,2606524.3239791547,,,,,,,,,,,,
74,5.214285714285714,,,2151255.385233438,,1322582.4447272108,,,,,,,,,,,,,2678619.006354113,,,,,,,,,,,,
75,5.285714285714286,,,,,1353519.909225933,,,,,,,,,,,,,2274111.2599844225,,,,,,,,,,,,
76,5.357142857142857,,,,,1314303.640425016,,,,,,,,,,,,,1907380.1338264237,,,,,,,,,,,,2441300.1182984835
77,5.428571428571428,,,,,1345516.965215423,,,,,,,,,,,,2586928.9473780915,,,,,,,,,,,,,
78,5.5,,,,,,,,,,2358386.627032433,,,,,,,,,,,,,,,,,,,,2305885.3406792684
79,5.571428571428571,,,,,1345989.3688753115,,,,,,,,,,,,,,,,,,,,,,,,,2502767.101513069
80,5.642857142857142,,,,,,,,,,,,,,,,,,2780865.9787884117,,,,,,,,,,,,
81,5.7142857142857135,,,2119237.4786428404,,1394129.3792929158,,,,,,,,,,,,,2796318.274265968,,,,,,,,,,,,
82,5.785714285714286,1442789.224581975,,,,1461721.7158967764,,,,,,,,,,,,,2788347.8315388444,,,,,,,,,,,,2407357.7992732218
83,5.857142857142857,,,,,,,,,,,,,,,,,,2761300.3764638873,,,,,,,,,,,,
84,5.928571428571428,,,,,,,,,,,,,,,,,,2570177.5698093805,,,,,,,,,,,,
85,6.0,,,,,,,,,,,,,,,,,,2482277.883173235,,,,,,,,,,,,
86,6.071428571428571,,,,,,,,,,,,,,,,,,2695406.0476690033,,,,,,,,,,,,
87,6.142857142857142,,,,,,,,,,,,,,,,,,2676065.11984781,,,,,,,,,,,,
88,6.2142857142857135,,,2143835.602238444,,,,,,,,,,,,,,,2536190.7701946185,,,,,,,,,,,,
89,6.285714285714286,,,2160138.8176917788,,,,,,,,,,,,,,,2626903.802933113,,,,,,,,,,,,2429427.3490691353
90,6.357142857142857,,,,,1338846.4033284497,,,,,,,,,,,,,2699847.502505922,,,,,,,,,,,,2408476.3121523485
91,6.428571428571428,,,2190889.9094263543,,1413480.4477147611,,,,,,,,,,,,,2569326.8416465204,,,,,,,,,,,,2414208.3735510474
92,6.5,,,,,,,,,,,,,,,,,,2593894.3813929856,,2017679.425955537,,,,,,,,,,
93,6.571428571428571,,,,,1302658.1650550538,,,,,,,,,,,,,2549986.747902961,,2017679.425955537,,,,,,,,,,
94,6.642857142857142,,,,,1264845.8396887977,,,,,,,,,,,,,2472385.2173263035,,,,,,,,,,,,
95,6.7142857142857135,,,,,1331976.2705267626,,,,,,,,,,,,2644052.8996193316,2665402.2032746742,,,,,,,,,,,,2458033.816377627
96,6.785714285714286,,,,,1281182.4973199805,,,,,,,,,,,,2644052.8996193316,2852685.8560972083,,,,,,,,,,,,
97,6.857142857142857,,,,,1390469.950865322,,,,,,,,,,,,,2583749.702235117,,,,,,,,,,,,2435580.4882556438
98,6.928571428571428,,,,,1295170.0871237353,,,,,,,,,,,,,2493877.6036615027,,2047398.4661004685,,,,,,,,,,2333399.768935601
99,7.0,,,,,,,,,,,,,,,,,,2643741.494765789,,,,,,,,,,,,2427614.8553264616
100,7.071428571428571,,,,,1331502.84277703,,,,,,,,,,,,,2654816.714805428,,,,,,,,,,,,2517733.4261186
101,7.142857142857142,,,,,,,,,,,,,,,,,2555931.4645510246,2592571.6223984603,,2036288.6917931917,,,,,,,,,,2405813.3983085854
102,7.2142857142857135,,,,,1338214.545460036,,,,,,,,,,,,,2632059.463260765,,,,,,,,,,,,
103,7.285714285714286,,,,,1454518.9086529985,,,,,,1855338.2995008985,,,,,,,2421786.86241682,,,,,,,,,,,,
104,7.357142857142857,,,,,1350457.9911889536,,,,,,,,,,,,,2390811.9523102352,,,,,,,,,,,,
105,7.428571428571428,,,,,1423731.2706338544,,,,,,,,,,,,,2475842.4063969306,,,,,,,,,,,,
106,7.5,,,,,1306166.5789853248,,,,,2369177.8233139585,,,,,,,,2485030.490107192,,,,,,,,,,,,2447148.2846182757
107,7.571428571428571,,,,,1235088.3579883925,,,,,2303984.544707174,,,,,,,,2604555.1728644143,,,,,,,,,,,,
108,7.642857142857142,,,,,,,,,,,,,,,,,,2689434.5585487694,,,,,,,,,,,,
109,7.7142857142857135,,,,,1187435.1252111238,,,,,,,,,,,,,2628335.5669375216,,,,,,,,,,,,
110,7.785714285714286,,,,,1177765.8638243305,,,,,2318945.891763835,,,,,,,,2462072.5245657335,,2051071.738141604,,,,,,,,,,2499516.9134674165
111,7.857142857142857,,,,,,,,,,,,,,,,,,2677822.7281593094,,,,,,,,,,,,2478151.216448971
112,7.928571428571428,,,,,1356515.7111276267,,,,,,,,,,,,,2734611.814212731,,,,,,,,,,,,2409284.296098395
113,8.0,,,,,1333373.2647369273,,,,,,,,,,,,,2535465.917002065,,,,,,,,,,2480846.3746961,,2404777.3206143277
114,8.071428571428571,,,,,,,,,,,,,,,,,,2697913.612420894,,,,,,,,,,,,
115,8.142857142857142,,,,,,,,,,,,,,,,,,2596068.6956355507,,,,,,,,,,,,2424927.282505422
116,8.214285714285714,,,2118957.0117032686,,,,,,,,,,,,,,,2485363.5964485887,,2053340.8341138903,,,,,,,,2495703.039183633,,2329081.9550659014
117,8.285714285714285,,,,,,,,,,,,,,,,,,2701059.760543746,,2053340.8341138903,,,,,,,,,,2428395.4672393305
118,8.357142857142856,,,,,,,,,,,,,,,,,2542430.8926258194,2693348.476522447,,,,,,,,,,,,
119,8.428571428571429,,,,,,,,,,,,,,,,,2450896.4274435556,2692063.1546482737,,,,,,,,,,,,2451878.656358541
120,8.5,,,,,,,,,,,,,,,,,,2791720.442297159,,,,,,,,,,,,2467243.8916346817
121,8.571428571428571,,,,,,,,,,,,,,,,,,2681993.972453955,,,,,,,,,,,,
122,8.642857142857142,,,2184527.3272853685,,,,,,,,,,,,,,,2840886.3998229164,,,,,,,,,,,,2387415.695534815
123,8.714285714285714,,,,,,,,,,,,,,,,,,2843484.2474042173,,,,,,,,,,,,2306365.646775174
124,8.785714285714285,,,2083479.471721326,,1200901.8575600614,,,,,,,,,,,,2595369.602599004,2804719.9605314964,,,,,,,,,,,,2178318.22859441
125,8.857142857142856,,,,,1289863.6552888406,,,,,,,,,,,,2490833.265804143,2765650.2860575104,,,,,,,,,,,,
126,8.928571428571429,,,,,1256325.9803496995,,,,,,,,,,,,2468866.4354124223,2751835.7912970395,,,,,,,,,,,,
127,9.0,,,2190960.5917676915,,1325679.5394020453,,,,,,,,,,,,2424646.496837758,2801400.7925432636,,1687162.9429735816,,,,,,,,,,
128,9.071428571428571,,,2196943.3096834323,,1445621.8825580555,,,,,,,,,,,,2458677.7542775553,2880313.703157345,,1470404.2027257222,,,,,,,,,,2500478.515566801
129,9.142857142857142,,,,,1421605.4712643824,,,,,,,,,,,,,,,1532856.6936669704,,,,,,,,,,
130,9.214285714285714,,,,,1219399.59053599,,,,,2231451.96923147,,,,,,,,2691635.7813827973,,1532856.6936669704,,,,,,,,,,2466379.8254101607
131,9.285714285714285,1387462.2136451434,,,,1216366.582760449,,,,,,,,,,,,2591294.827545735,2541725.6172789317,,1532856.6936669704,,,,,,,,,,2438853.358171593
132,9.357142857142856,1387462.2136451434,,,,1137280.9912078243,,,,,,,,,,,,2606771.376328915,2663784.266536608,,1532856.6936669704,,,,,,,,,,2512515.9244654137
133,9.428571428571429,1387462.2136451434,,,,1296354.2426827247,,,,,,,,,,,,2470993.0468907827,2667472.3010985726,,1927955.8803568017,,,,,,,,,,2453628.3680254268
134,9.5,1387462.2136451434,,,,,,,,,,,,,,,,2421432.7119263182,2686055.2136505563,,,,,,,,,,,,
135,9.571428571428571,,,,,1401289.184421767,,,,,,,,,,,,,2770092.4642175464,,,,,,,,,,,,
136,9.642857142857142,,,,,1378480.6454991905,,,,,,,,,,,,,2872962.0200553657,,,,,,,,,,,,
137,9.714285714285714,,,2172031.875215083,,1335090.3160812398,,,,,,,,,,,,,2486832.9160403004,,,,,,,,,,,,2520614.30276201
138,9.785714285714285,,,,,1268501.6809230084,,,,,,,,,,,,,2676836.0706884726,,,,,,,,,,,,2256119.965287602
139,9.857142857142856,,,,,1333815.7231669838,,,,,,,,,,,,,2720423.8470186116,,,,,,,,,,,,2354402.498836238
140,9.928571428571429,,,,,1209485.4716819262,,,,,,,,,,,,,2774018.5479497123,,,,,,,,,,,,
141,10.0,,,,,1267654.9388103273,,,,,,,,,,,,,2596741.2834663317,,,,,,,,,,,,
142,10.071428571428571,,,,,1247251.9885202148,,,,,,,,,,,,,2576587.5228109895,,,,,,,,,,,,2463040.8759348835
143,10.142857142857142,,,,,1274290.635100937,,,,,,,,,,,,,2637307.320985698,,,,,,,,,,,,2283242.692044892
144,10.214285714285714,,,,,1186779.4335892454,,,,,,,,,,,,,2610326.5832549385,,2051257.5134318327,,,,,,,,,,2477073.773195904
145,10.285714285714285,,,2193372.459315646,,,,,,,,,,,,,,,2519024.1189392395,,1905868.2887961885,,,,,,,,,,
146,10.357142857142856,,,,,1348484.3629130397,,,,,,,,,,,,,2558171.3617757526,,,,,,,,,,,,
147,10.428571428571429,,,,,1315448.2543005731,,,,,,,,,,,,,2529968.9684421606,,,,,,,,,,,,2475192.8987911465
148,10.5,,,2187653.1692878534,,1281543.0610967113,,,,,,,,,,,,2643408.9295905586,2553311.334772504,,,,,,,,,,,,
149,10.571428571428571,,,,,1424384.133219421,,,,,,,,,,,,2563042.6351965284,2620993.7152237087,,,,,,,,,,,,2440218.3902702844
150,10.642857142857142,,,,,1228629.6130625778,,,,,,,,,,,,,2710855.829740953,,,,,,,,,,,,2297234.8629679647
151,10.714285714285714,,,,,1388355.9060630156,,,,,,,,,,,,,2507656.442007976,,,,,,,,,,,,2396371.7352465224
