Condition_mM,Track,InitialThrashRate_Hz,ThrashingThreshold_Hz,ThrashSuppTime_s
750,0001_5,1.0177304964539007,0.25443262411347517,151.85714285714286
750,0001_6,1.1356435643564358,0.28391089108910894,80.14285714285714
750,0002_1,0.9633587786259542,0.24083969465648855,63.0
750,0002_2,0.6804347826086957,0.17010869565217393,43.14285714285714
750,0002_3,1.1968992248062016,0.2992248062015504,146.5
750,0002_4,0.8716666666666668,0.2179166666666667,190.57142857142856
750,0002_5,1.154255319148936,0.288563829787234,87.42857142857143
750,0003_1,1.1579710144927537,0.28949275362318844,118.85714285714285
750,0003_2,1.1882352941176473,0.2970588235294118,77.64285714285714
750,0003_3,1.075,0.26875,70.07142857142857
750,0003_4,1.5217391304347827,0.3804347826086957,106.35714285714285
750,0003_5,1.4184397163120568,0.3546099290780142,145.78571428571428
750,0003_6,1.2913043478260868,0.3228260869565217,114.92857142857142
750,0003_7,1.047517730496454,0.2618794326241135,123.42857142857142
750,0003_8,1.1651162790697676,0.2912790697674419,112.85714285714285
850,0002_1,1.00625,0.2515625,46.85714285714285
850,0002_2,1.2577235772357724,0.3144308943089431,92.71428571428572
850,0002_3,1.3228571428571432,0.3307142857142858,74.57142857142857
850,0002_4,0.444927536231884,0.111231884057971,76.35714285714285
850,0003_1,1.4207142857142858,0.35517857142857145,92.71428571428572
850,0003_10,1.2409090909090907,0.3102272727272727,151.14285714285714
850,0003_2,0.9492307692307692,0.2373076923076923,92.07142857142856
850,0003_3,1.0402877697841726,0.26007194244604315,71.07142857142857
850,0003_4,1.0711111111111113,0.26777777777777784,107.35714285714285
850,0003_5,0.9035714285714285,0.22589285714285712,49.5
850,0003_6,1.0256198347107437,0.2564049586776859,65.42857142857143
850,0003_7,0.9921875000000002,0.24804687500000006,104.21428571428572
850,0003_8,0.8942857142857144,0.2235714285714286,83.28571428571428
850,0003_9,0.4107913669064748,0.1026978417266187,37.42857142857142
850,0004_1,1.0269503546099292,0.2567375886524823,81.71428571428571
850,0004_2,1.6685714285714286,0.41714285714285715,134.5
850,0004_3,1.3879432624113475,0.34698581560283687,88.64285714285714
850,0004_4,1.2609022556390976,0.3152255639097744,85.14285714285714
850,0004_5,1.5512195121951216,0.3878048780487804,59.35714285714285
850,0004_6,1.3,0.325,115.42857142857142
850,0004_7,0.8985815602836879,0.22464539007092196,67.64285714285714
850,0004_8,1.107438016528926,0.2768595041322315,93.5
950,0001_1,0.7588709677419355,0.18971774193548388,90.85714285714285
950,0001_2,1.162015503875969,0.29050387596899224,85.85714285714285
950,0001_3,1.2274809160305344,0.3068702290076336,121.14285714285714
950,0001_4,0.6,0.15,118.42857142857142
950,0001_5,0.9135922330097087,0.22839805825242718,43.64285714285714
950,0001_6,1.0291338582677165,0.25728346456692913,74.85714285714285
950,0002_1,2.2899999999999996,0.5724999999999999,64.85714285714285
950,0002_2,1.7042553191489362,0.42606382978723406,72.64285714285714
950,0002_3,1.3247999999999998,0.33119999999999994,92.35714285714285
