Frame,Time,0001_1,0001_2,0001_3,0001_4,0001_5,0002_1,0002_2,0002_3,0003_1,0003_2,0003_3,0003_4,0003_5,0004_1,0004_2,0004_3,0004_4,0004_5
31,2.142857142857143,,,2012071.0003723202,2215216.8429653277,,2361731.399379824,1898447.6612471507,,2125816.89104396,1835675.6133299214,2052194.9736504783,1769121.552300288,,2085110.5158964593,,1895468.7745090807,,
32,2.214285714285714,,,2118315.605614972,,,2316970.962419475,,,,1706581.1273212335,2056588.822782182,1739324.1088604748,,1875183.5722443452,,1688763.3500384144,,
33,2.2857142857142856,,,2220282.57385478,,,2279509.31472848,1760432.1337357773,,1978829.6158618133,1814913.1659510245,1941058.0993261687,,,1895022.4290335728,,,,
34,2.357142857142857,,,2143636.5867309305,,,2217045.433362847,1734472.7550331894,,,1846262.4092037494,1974890.649053143,1911077.5001030182,,2113945.8346434603,,,1959556.7933133047,
35,2.4285714285714284,,,2242700.75656843,,,2313721.6196642425,,,,1809124.3694541536,2072841.8622738163,1859334.39592078,,1875784.3575859948,,1828544.112984967,2129178.1604019273,
36,2.5,,,2209028.066240068,,,2292621.1936307116,,,2026169.5654024633,1786147.5913419216,2161768.6310161394,1880202.3406837585,,1905037.6160830206,,1868162.125145473,,
37,2.571428571428571,,,2146065.9330132185,,,2234856.0813384554,,,1934182.1887683254,1736208.453905545,2069866.2846914204,1812624.9569967177,,1912534.5842449183,,1672561.9962975439,,
38,2.642857142857143,,,1982448.259142001,2222164.1004395103,,2345368.0702924253,,,,1479465.6278757919,2167945.9820469045,1943176.1596500196,,1873547.6625697273,,1852343.0812930407,2146754.895167294,
39,2.714285714285714,,,2217319.0692324503,,,2538378.828807741,,,,1670496.029617934,2136211.7913626935,2069288.959291696,,1867189.3998102334,,,,
40,2.7857142857142856,,,2104773.841616371,2133721.5984862135,,2317208.7875991175,,,,1727320.9035685638,1983986.8673010115,1847977.0765274144,,,,,,
41,2.8571428571428568,,,2148916.6787439487,2133721.5984862135,,2366095.681049131,,,2136760.633601751,1652019.2079984944,2240294.309581846,1693394.3262799187,,1748098.8993790867,,1882796.8956480091,,
42,2.9285714285714284,,,2239879.822129843,2186835.638780404,,2315468.839436518,,,2045212.5526014455,1471569.383074083,2069598.5569031467,1809329.4749262603,,1993322.7593996758,,,,
43,3.0,,,2035476.3500107068,,,2328577.1846500477,,,1997559.3455902697,1740414.2102252853,2160639.544015107,1949588.3642856134,,1922051.9886482055,,,2125442.8596709757,
44,3.071428571428571,,,2160105.5241148206,,,2123427.112631934,,,2103301.698264765,1621957.797878688,1995444.445901719,1679057.4398602778,,1875248.347067546,,,2047842.1996297298,
45,3.142857142857143,,,2303845.151190729,2160704.0609434475,,2362435.0154368393,,,2121522.723781385,1769081.6572687638,2064576.7214525298,1732052.099591363,,2231535.894616964,,,2200119.762888279,
